product_name,id,tag,tag 2,tag 3,tag 4,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,안경농담곰,복합성,여름쿨톤,모공,블랙헤드,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.05.24,복합성에 좋아요,진정에 좋아요,보통이에요,저는 복합성이고 화장하기전에 발라주면 화장이 잘먹어요! 매트한 파데를 쓰면 건조해서 화장이 뜰때가 있는데 이거 바르고 나서 그런 적 없어요 추천합니다!
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,alter****,,,,,,,5점만점에 5점,2025.06.26,건성에 좋아요,진정에 좋아요,자극없이 순해요,매번 사용하는 제품이라좋아요 수분감좋아서 애용하네요. 가격할인되서 얼른 구매했네요
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,유후,,,,,,,5점만점에 5점,2025.06.30,건성에 좋아요,보습에 좋아요,자극없이 순해요,기초 첫단계에 바르기 좋아요!!!엄청 물제형이라서 많이 덜먄 바르다가 막 방바닥에 떨어지고 그래요 그거빼고는 너무 좋아요 !
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,jy97****,,,,,,,5점만점에 5점,2025.06.15,건성에 좋아요,보습에 좋아요,보통이에요,"닥터자르트 제품 한참 사용하다가 말았었는데, 역시 잘하네요. 닥터자르트는 다시 돌아와도 항상 잘하고 있는 브랜드인 것 같습니다. 복합성 기준, 여름에 두 번 레이어링 하면 로션 안 발라도 건조하지 않습니다."
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,유니퐁,복합성,쿨톤,,,,,5점만점에 5점,2025.06.12,복합성에 좋아요,보습에 좋아요,자극없이 순해요,평생템 중 하나. 이번 6월 올영 세일에 40%해서 너무 좋았음.
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,올챙이포뇨,건성,봄웜톤,민감성,탄력,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2024.01.05,건성에 좋아요,보습에 좋아요,자극없이 순해요,"⭐️ 장단점 리뷰 + 성분분석표 포함 ⭐️- 가장 최근에 작성한 리뷰입니다.- 두통째 사용중, 세통째 구매 (앞으로 재구매 예정)- 제품 한줄평) 속건조 해소 + 스킨 부스터 + 건성,예민피부 필수템 -> 처음엔 별 효과가 없다고 생각했는데 1/3정도 매일 쓰고 나니까 확실히 좋은게 느껴져서 지금까지도 계속 쓰고 있어요. 앞으로도 재구매할 수밖에 없는 제품입니다.♥ 장점 ♥1. 피부결 개선 - 즉각적인 수분 공급이 되면서 피부결이 매끄러워져요. - 두세번 레이어링해서 바르면, 피부 촉감이 정말 탱글 부들한게 너무 좋아요.2. 속건조 해결 - 토너대신 세안 직후 바로 흡수시켜주세요. 단기간 사용으로도 속건조가 바로 해결됩니다. - 저처럼 건성이고 쫀득한 피부표현 좋아하신다면 두세번 더 발라주세요. 진짜 좋아요!3. 깔끔하고 적은 성분수 - 민감성 피부도 안심하고 쓸 수 있어요. 쓰면서 트러블 난 적 없어요! - 성분수가 적어서 다른 제품, 기능성 제품과 함께 쓰더라도 피부에 무리없어요.팁= 그날 피부 상태에 따라서 첫단계 or 에센스 단계에 사용하기 1) 스킨처럼 첫단계에 사용하기    - 요즘 너무 건조하다, 오늘 스킨케어의 메인을 수분,보습으로 하겠다 하는 날    - 악건성 팁) 피부가 쫀득하게 손바닥에 붙을 정도로 계속 바르고 흡수시키기를 반복하기 2) 수분 에센스로 활용하기    - 물토너 사용 후 가볍게 수분 에센스 사용하듯이 써도 좋아요. 묽기 때문에 점성있는 앰플,세럼류보다 먼저 바르셔야 해요!단점케이스가 유일한 단점😟- 케이스.. 용기 입구가 너무 별로예요ㅠㅠ 주변으로 잘 새고 양조절은 당연 안되고.. 그리 저렴하지 않은데 양을 헤프게 쓰게 됩니다.- 용기 때문에 별 하나 빼고싶지만... 제품이 너무 좋아서 뺄 수 없어요.. 그정도로 좋으니까 건성이라도 꼭꼭 써보시면 좋겠어요."
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,올챙이포뇨,건성,봄웜톤,민감성,탄력,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.12.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,"⭐️ 장단점 리뷰 + 성분표 ⭐️- 세번째 구매하는 재재구매템입니다!- 장점 정리) 속건조 잡기 + 건성 필수템팁스킨처럼 첫단계에 사용하되, 두세번 덧바르기 - 속,겉 모두 건조한 피부인데, 겨울엔 악건성에 가까워요. 그런데 이 제품으로 두세번 발라주면 피부가 쫀득하면서 수분 짱짱해집니다:) - 처음엔 별 효과가 없다고 생각했는데 1/3정도 매일 쓰고 나니까 확실히 좋은게 느껴지네요. 재구매할 수밖에 없던 제품입니다. ♥ 장점 ♥1. 피부결 개선 - 즉각적인 수분 공급이 되면서 피부결이 매끄러워져요. - 두세번 레이어링해서 바르면, 피부 촉감이 정말 탱글 부들한게 너무 좋아요.2. 속건조 해결 - 토너대신 세안 직후 바로 흡수시켜주세요. 단기간 사용으로도 속건조가 바로 해결됩니다. - 저처럼 건성이고 쫀득한 피부표현 좋아하신다면 두세번 더 발라주세요. 진짜 좋아요!3. 깔끔하고 적은 성분수 - 민감성 피부도 안심하고 쓸 수 있어요. 쓰면서 트러블 난 적 없어요! - 성분수가 적어서 다른 제품, 기능성 제품과 함께 쓰더라도 피부에 무리없어요.단점케이스가 유일한 단점😟- 케이스.. 용기 입구가 너무 별로예요ㅠㅠ 주변으로 잘 새고 양조절은 당연 안되고.. 그리 저렴하지 않은데 양을 헤프게 쓰게 됩니다.- 용기 때문에 별 하나 빼고싶지만... 제품이 너무 좋아서 뺄 수 없어요.. 그정도로 좋으니까 건성이라도 꼭꼭 써보시면 좋겠어요."
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,챙이챙이올,복합성,봄웜톤,모공,민감성,,,5점만점에 5점,2023.10.23,복합성에 좋아요,보습에 좋아요,자극없이 순해요,바이탈 에센스가 또 리뉴얼되었다고해서 구매해봤습니다이제는 예전처럼 발효성분으로 피부장벽을 좀 더 튼튼하게 해주는 느낌보다는 완전 수분에 더 집중한 느낌을 받았네요 그래서인지 호불호 갈렸던 향은 걱정 안하셔도 될 것 같구요 전반적으로 만족해요!!
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,마실러,복합성,겨울쿨톤,모공,민감성,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.08.01,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"수영 후 사용할 수분에센스를 찾고 있었는데믿고 쓰는 닥터자르트에 시원시원한 디자인에 끌려서 할인 들어가자마자 구매!👉살짝 점성 있지만 수분 가득 끈적임 없는 제형👉무향👉바르자마자 촉촉하게 흡수됨👉사계절 사용 가능한 착한 성분 수분 충전 에센스여름엔 이 하이드로 에센스 사용 후 수분크림,겨울엔 유분 있는 크림으로 마무리해주면하루 종일 피부 속까지 촉촉하게 유지할 수 있겠어요.(오늘 폭염을 견뎌내고도 집에서도 촉촉했음👍)한가지 아쉬운 건 입구 구멍이 약간 커서 옆으로 흐를 때가 있는데 크기가 작아진다면 더 편하게 사용할 수 있을 것 같아요~"
닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,한꼬라지,건성,쿨톤,민감성,아토피,,,5점만점에 3점,2023.07.04,건성에 좋아요,보습에 좋아요,자극이 느껴져요,"아주 약간의 점성이 있는 워터에센스예요촉촉하고 속수분 채워주는 느낌이 수분에센스치고는 별로..피부겉에서 놀다가 마르는 느낌..근데 케이스에 저 테이프는 왜 길에 붙여놨는지 머르겟음..🤔😒😒😡리뷰수정합니다ㅡㅡ저 각질제거 후에 이거 썼더니 피부 완전따갑고 붉어지고 홍조대박..병원가니 접촉성피부염...이라고 진단나와서이거 그냥 버렸어요 항상썼던 각질제거제가 문제는 아닌거 같고.. 닥터자르트가 문제인건 아예생각도 못했거등여 근데 이번에 각질정리하고  똑같이 이거 바르자마자 겁나 따갑고 얼굴 엄청 빨개지고 똑같이 피부가 난리가 나서..이거구나 뒤늦게 알게되었어요 ㅜㅠ저같이 예민민감성이신분들은 비추천해요~이거보단 전 닥터자르트 하늘색패드가 훨씬 좋았어요리뷰수정이 좀 늦었는데, 늦게나마 민감성이신분들은 제 리뷰가 도움이 되셨으면 합니당 ㅜ"
