product_name,id,tag,tag 2,tag 3,tag 4,point,date,txt,txt 2,txt 3,txt_inner,num,point_flag,more_msg
디오디너리 히알루로닉 애시드,rospzp,건성,여름쿨톤,모공,민감성,5점만점에 5점,2025.06.29,건성에 좋아요,보습에 좋아요,자극없이 순해요,수분감이 가득 해서 건조 할 때 사용해 주면 아주 좋아요. 추천합니다.,3,,
디오디너리 히알루로닉 애시드,히뽀02,복합성,웜톤,모공,블랙헤드,5점만점에 5점,2025.05.13,복합성에 좋아요,보습에 좋아요,보통이에요,궁금해서 구매해본 세럼입니다친구가 추천해서 사봣는데 괜찮은거 같아요 많이 바르면 안되고 소량으로 잘 펴바르면 좋아요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,jz5****,,,,,5점만점에 1점,2025.07.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,어디서 굴러다니던거 보낸것도 아니고 상태가 왜이러나요?,0,,
디오디너리 히알루로닉 애시드,happpilyeverafter,지성,봄웜톤,다크서클,민감성,5점만점에 5점,2025.07.02,건성에 좋아요,보습에 좋아요,자극없이 순해요,촉촉해요 얇게 펴바르는 게 좋을 것 같아요 수분충전에 딱~~,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,유리또비,건성,웜톤,각질,모공,5점만점에 5점,2025.06.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,속건조에 좋고 피부가 쫀득하져서 좋아요! 레티놀이랑 같이 쓰는데 좋습니다,0,,
디오디너리 히알루로닉 애시드,emilylov****,,,,,5점만점에 5점,2025.06.21,복합성에 좋아요,진정에 좋아요,자극없이 순해요,디오디너리 믿고 구매합니다. 빠른 배송 감사합니다. 잘 쓸게요.,0,,
디오디너리 히알루로닉 애시드,a1****,,,,,5점만점에 3점,2025.06.14,복합성에 좋아요,보습에 좋아요,보통이에요,잘받았어요 쓰던거라 세일하기에 일단하나샀는데 제조일이..ㅎㅎ 많이파세요,0,,
디오디너리 히알루로닉 애시드,ckdmsdn****,,,,,5점만점에 5점,2025.06.24,지성에 좋아요,주름/미백에 좋아요,자극없이 순해요,저희 엄마가 사용하고 계시는데 너무 만족해 하십니다한달가까이 썼더니 피부도 맑게 깨끗해지고 주름 관리에도 조금 효과적인 것 같습니다단 사용하실 때 재형이 많이 무거워서 손바닥에 한두방울만 덜어뜨리고 그걸로 톡톡톡 모든 얼굴에 발라주시면 좋습니다그럼 밀리지도 않고 때처럼 나오지도 않습니다재구매 의사 있습니다,0,,
디오디너리 히알루로닉 애시드,빰뽬2,,,,,5점만점에 5점,2024.12.01,복합성에 좋아요,보습에 좋아요,자극없이 순해요,한달 사용 찐 후기막 눈에 띄게 좋아졌다라기 보다는 조금더 사용해봐야알거 같아요 올 겨울은 정말 너무 갑자기 추워져서 피부가 뒤집어졌는데 그것만 잡는데… 한달이 걸린거 같습니다 아침 저녁 세안 후 꼭 발라준 앰플인데 와 대박이다 이 정도는 아니여도 피부에 좋겠거니 생각하고 사용했던 제품입니다 생각보다 쫀쫀함이 느껴지는 앰플이었어요한달 사용하니 거의 딱 알맞게 사용하네요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,빰뽬2,,,,,5점만점에 5점,2024.10.31,지성에 좋아요,주름/미백에 좋아요,자극이 느껴져요,"유명하다고 해서 구입했어요!! 사용감은 바르고 나서 살짝 쫀쫀한 느낌이 즉각적으로 들었어요 바르고 나서 충분히 흡수 시켜주는게 필요할거 같습니다!!사용 후 좋은 느낌이 들면 다시 한달 사용 후기로 돌아오겠습니다 할인을 안해서 늘 아쉽긴 하지만,, 세일도 자주 해줬으면 좋겠어요 가격대가 있는 편이지만 히알루로닉이 들어 있으니 홈케어 할 때 좋은거 같아요",1,,
