product_name,id,tag,tag 2,tag 3,tag 4,point,date,ico_offlineStore,txt,txt 2,txt 3,txt_inner,num,point_flag,more_msg,txt_beauty
리얼베리어 익스트림 에센스 토너,Ujinsuh,복합성,쿨톤,각질,모공,5점만점에 4점,2025.07.09,매장,복합성에 좋아요,보습에 좋아요,자극없이 순해요,자극 받은 피부 때문에 붉은 홍조랑 모공이 도드라져보이는게 고민이에요. 올리브영 직원 분께서 추천해주셨는데 무난하게 잘 쓰고 있어요. 피부가 엄청 막 좋아지진 않았는데 딱히 자극도 없어서 보습에 좋습니다.,0,,,
리얼베리어 익스트림 에센스 토너,빵주주,,,,,5점만점에 5점,2025.07.01,매장,건성에 좋아요,보습에 좋아요,자극없이 순해요,친구가 필요하다고 해서 선물로 사줬어요  효과가 있었으면 좋겠네요,1,,,
리얼베리어 익스트림 에센스 토너,토실77,지성,쿨톤,잡티,,5점만점에 4점,2025.06.24,매장,복합성에 좋아요,진정에 좋아요,보통이에요,리얼베리어 에센스 토너 처음 사용해봤어요. 여름이라 다음에는 라이트로 구매하고 싶어요.,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,134340134340,건성,각질,다크서클,,5점만점에 5점,2025.07.04,,건성에 좋아요,보습에 좋아요,자극없이 순해요,날은 따뜻해져썽도 환절기엔 건조해서 아침저녁으로 발랏어용 보습에좋아용,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,샤엠디,,,,,5점만점에 5점,2025.06.24,,복합성에 좋아요,보습에 좋아요,자극없이 순해요,항상 사용하는 제품 올영세일 할 때 구매했어요~~~!잘 쓰고있어용ㅎㅎㅎ,0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,리브89,트러블성,겨울쿨톤,모공,블랙헤드,5점만점에 5점,2025.07.05,매장,복합성에 좋아요,진정에 좋아요,자극없이 순해요,냄새도 안나고 순하고 부드럽고 보습도 잘 되고 진정도 되고 사용하기도 편리하고 만족하고 있어서 스킨 로션 크림 다 이거 쓰고있어요.저는 리얼베리어 좋아해서 잘쓰고있어요.가족들이 다같이써도좋을거같고요. 종류도 다양해서 자기 피부 상태에 맞는 거 라인 사서 쓰면 좋아요.,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,소댕이,민감성,쿨톤,민감성,잡티,5점만점에 5점,2025.06.27,매장,복합성에 좋아요,보습에 좋아요,자극없이 순해요,스킨을사용안하고 저는 원래 앰플 크림 순서로만 갑니당 다른날은 패드 앰플 크림 정도까지 스킨처음사용해보는데 콧물제형이라 무거울까봐 걱정했지만 피부에 확스며들어서 세번레이어링해도 끈적이고 무겁지않았어요 정말 순하고 발림성이좋아요,0,,,
리얼베리어 익스트림 에센스 토너,Palace,복합성,웜톤,모공,미백,5점만점에 5점,2025.06.02,매장,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"리얼베리어 익스트림 에센스 토너를 사용해본 결과, 건조하고 민감한 피부에 매우 효과적인 제품임을 느꼈습니다. 제형은 에센스와 토너의 중간 정도로, 묽지만 약간의 점성이 있어 피부에 부드럽게 흡수됩니다. 사용 후 피부가 촉촉하고 탄탄해지는 느낌을 받았으며, 특히 속건조를 잡아주는 데 탁월했습니다. 무향에 가까워 민감한 피부에도 부담 없이 사용할 수 있었고, 피부 장벽 강화에 도움이 되는 성분들이 함유되어 있어 장기간 사용 시 피부 상태가 개선되는 것을 느꼈습니다. 아침 저녁으로 사용해도 끈적임 없이 산뜻하게 마무리되어 데일리 토너로 적합하며, 건성이나 수부지 피부를 가진 분들께 적극 추천드립니다.",0,,,
리얼베리어 익스트림 에센스 토너,토실77,지성,쿨톤,잡티,,5점만점에 4점,2025.05.19,매장,복합성에 좋아요,보습에 좋아요,보통이에요,익스트림 에센스 토너 라이트로 구매할려고 했는데일시품절이라 이걸로 구매했습니다.,0,,,
리얼베리어 익스트림 에센스 토너,Allepp,,,,,5점만점에 5점,2025.07.01,,건성에 좋아요,보습에 좋아요,자극없이 순해요,속건조 잡아주는데 제 기준 최고의 기초템!!! 다른 유명 브랜드껏도 비교삼아 사서 쓰는중인데 저한테는 이게 더 속에 수분 충전이 잘되는 느낌이라 걍 앞으로 이걸로 정착하려구여벌써 2통 쓰고 세일겸 미리 쟁여뒀는데 아침 저녁으로 바르기 좋아요1+1으로 저렴한 기획도 나오면 좋겠어요🥺,0,,,
리얼베리어 익스트림 에센스 토너,으잉ㅇㅣ,,,,,5점만점에 5점,2025.06.21,매장,복합성에 좋아요,보습에 좋아요,자극없이 순해요,물스킨이 아니라 촉촉하고 좋아요 굿굿 다쓰고 또 사러올께요👍👍,0,,,
리얼베리어 익스트림 에센스 토너,쏘타,,,,,5점만점에 5점,2025.06.08,매장,건성에 좋아요,진정에 좋아요,보통이에요,제품이 순하고 두세번 레이어링해서 바르면 건조함 많이 잡햐용,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,meay****,민감성,민감성,,,5점만점에 5점,2025.06.07,매장,복합성에 좋아요,진정에 좋아요,보통이에요,지성치부인데 여름에 써도 너무 좋아요 무겁지 않아서 더 좋습니다,0,,,
리얼베리어 익스트림 에센스 토너,샤엠디,,,,,5점만점에 5점,2025.06.04,,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"역시 올리브영은 올영데이 때 사야됩니다,,,,며칠 전에 구매했는데 더 저렴해져서 추가 구매했어용!",0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
리얼베리어 익스트림 에센스 토너,샤엠디,,,,,5점만점에 5점,2025.05.24,,복합성에 좋아요,보습에 좋아요,자극없이 순해요,제품이 순하다고 해서 항암 시작하기 전에 성분 좋은 제품으로 구매했어요! 잘 쓰겠습니다ㅎㅎㅎ,0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
