product_name,id,tag,tag 2,tag 3,tag 4,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner,txt_beauty,num,ico_offlineStore
바이오더마 하이드라비오 세럼,사각이,건성,쿨톤,주름,홍조,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,"바이오더마 하이드라비오 수분라인 같이 썼는데, 속건조 잘 잡아주고 댕기는게 덜했어요.트러블도 안나도 무난하게 쓸 수 있는 수분라인 같아요~","※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",3,
바이오더마 하이드라비오 세럼,초코랑양,건성,웜톤,모공,미백,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.07.05,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극없이 너무 순하구요. 에센스 로션과 같이 사용중인데 촉촉함이 오래가면서 끈적임이 없어서 좋아요. 피부가 부드러워지면서 속건조도 잘 잡아줘요,,0,
바이오더마 하이드라비오 세럼,서여미9,복합성,,,,,,5점만점에 5점,2025.06.17,복합성에 좋아요,진정에 좋아요,자극없이 순해요,"1. 구매경로다른 제품 사면서 받은 샘플로 처음 써봄. 너무 좋아서 망설임 없이 본품 구매함.2. 피부타입홍조가 잘 생기고 얼굴에 열감이 자주 오르는 편.3. 첫인상바르자마자 느껴지는 즉각적인 쿨링감이 인상적이었음. 인위적으로 화한 느낌이 아니라, 수분감으로 피부 온도를 자연스럽게 내려주는 기분임.4. 제형묽은 젤 타입. 끈적임 없이 산뜻하게 흡수됨. 속은 촉촉한데 겉은 보송하게 마무리되는 느낌.5. 사용법저녁 스킨케어 때 토너 다음 단계에서 사용함. 원래 쓰던 크림(센시비오 디펜시브)을 덧발라 마무리해 줌.6. 효과다음 날 피부가 진정된 게 느껴짐. 울긋불긋했던 피부 톤도 많이 가라앉아 있었음.7. 재구매의사홍조나 열감으로 고민인 사람에게 추천. 샘플 써보고 본품까지 산 건데 아주 만족스러움. 재구매 의사 있음.","※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",1,
바이오더마 하이드라비오 세럼,df****,건성,쿨톤,민감성,잡티,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.02,건성에 좋아요,보습에 좋아요,보통이에요,얘도 한 10통은 쓴 듯건성인데 여름에 쓸 때 가장 효과 좋아요 피부 속까지 쫀쫀하게 채워주는데 두껍거나 끈적이지는 않음!!,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,
바이오더마 하이드라비오 세럼,ko나연,복합성,쿨톤,각질,다크서클,,,5점만점에 5점,2025.06.21,복합성에 좋아요,보습에 좋아요,자극없이 순해요,속건조 진짜 심한데 바이오더마 제품이 속보습에효과 좋은 것 같아요!!! n통째 잘 쓰고있어용,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,매장
바이오더마 하이드라비오 세럼,eunaagg,,,,,,,5점만점에 5점,2025.07.03,건성에 좋아요,보습에 좋아요,자극없이 순해요,테스트 후 좋은 제품인건 알고 있었지만 가격이 비싸서 고민중이었다가 세일 하길래 바로 구매했어요 사용후 느낀점-진짜 정말 보습 잘 채워줍니다. -끈적이거나 유분광이 없어요 수분제품 중 가장 보송하게 마무리됨-화잘먹템으로 추천 !!***용량만 제발 크게.....크게...가격 조금만 싸게.....해주세요...,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,매장
바이오더마 하이드라비오 세럼,알랑구,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,복합성에 좋아요,진정에 좋아요,보통이에요,촉촉해요 메이크업 하기 전에 바르면 피부에 수분 충전 완료임,,0,
바이오더마 하이드라비오 세럼,알랑구,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,복합성에 좋아요,진정에 좋아요,보통이에요,촉촉해요 메이크업 하기 전에 바르면 피부에 수분 충전 완료임,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,매장
바이오더마 하이드라비오 세럼,초코랑양,건성,웜톤,모공,미백,,,5점만점에 4점,2025.06.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,바이오덤마 에센스로션 지인추천받아 사용하니 좋아서 세럼도 구매해봤어요. 피부에 자극도 없고 끈적임없이 촉촉하고 너무 맘에드네요,,0,
바이오더마 하이드라비오 세럼,고양이마녀,,,,,,,5점만점에 5점,2025.06.21,지성에 좋아요,진정에 좋아요,보통이에요,사려던 제품없어서 여름용 세럼으로 구매 가벼운 제형이라 딱 생각했던대로에여 건성피부인 분들은 비추,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,매장
