product_name,id,tag,tag 2,tag 3,tag 4,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner,ico_offlineStore
바이오더마 하이드라비오 에센스로션,피치키티,건성,봄웜톤,민감성,트러블,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 3점,2025.06.26,복합성에 좋아요,주름/미백에 좋아요,보통이에요,정말 다양하게 사용해봤는데 저에게는 트러블 진정 효과도 없고 속건조를 채워주지도 못했어요 버블 용기에 넣어 사용하면 그나마 더 보습력이 생깁니다,
바이오더마 하이드라비오 에센스로션,마녀배달부키키,복합성,봄웜톤,블랙헤드,탄력,,,5점만점에 5점,2025.06.07,복합성에 좋아요,보습에 좋아요,자극없이 순해요,손에 덜어서 사용해도 좋은데 안개 분사 스프레이로 사용하신 분 절 받으세요🙏🏻저는 다이#에서 구매했어요👀흡수도 더 잘 되는 거 같고 효율적으로 사용 가능해요가벼운 워터 제형이라 여러 번 덧발라도 좋고 끈적임 없는 제형이라 사계절 사용 가능해요속건조도 많이 줄었어요가격이 문제인데.. 그거 생각해도 제품이 좋으니까 계속 재구매 하는 거 같아요 추천하는 제품이에요👏🏻,
바이오더마 하이드라비오 에센스로션,삼월왈왈,복합성,여름쿨톤,모공,블랙헤드,,,5점만점에 5점,2025.06.20,복합성에 좋아요,진정에 좋아요,자극없이 순해요,"이거 진짜 좋아요 행사가 없이 일반 단풍 가격으론 좀 비싸서 구매 망설여질 수도 있는데, 원플러스 원하거나 쿠폰 먹여서 싸면 진짜 한 개당 10,000원 대로 구매할 할 수 있어요!! 여름이나 겨울이나 상관 없이 뭔가 속 건조가 잡히면서 쫀쫀하게 마무리 되는 수분이 차오르는 느낌?이 너무 좋아요,, 유분감도 하나도 안 느껴져서 저는 스킨 따로 안쓰고 이거 스킨으로 쓰고 바로 세럼 올리고 크림 바르는 편이에요!! 짱 최고.. 단종되면 절대 안 돼요ㅠ",
바이오더마 하이드라비오 에센스로션,마녀배달부키키,복합성,봄웜톤,블랙헤드,탄력,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.07,복합성에 좋아요,보습에 좋아요,자극없이 순해요,여러 번 발라도 피부가 답답하지 않고 수분을 쌓아준다는 느낌이라 좋아요 사계절 사용 가능해서 추천하고 싶어요트러블도 딱히 없고 추천합니다,
바이오더마 하이드라비오 에센스로션,ttpp,지성,봄웜톤,다크서클,잡티,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.29,지성에 좋아요,진정에 좋아요,보통이에요,펌프 꽂아서 사용하니 손이 더더 잘가요!!미스트처럼 뿌릴수 있는게 좋네요수부지에 이거 몇통쓰는중인데 재구매의사 또 있습니당,
바이오더마 하이드라비오 에센스로션,xxali****,건성,웜톤,민감성,,,,5점만점에 5점,2025.07.07,건성에 좋아요,보습에 좋아요,자극없이 순해요,재구매 입니다 대용량 나왔으면 좋겠어요!!! 건성인 저에게는  레이어드해서 사용하기 좋아요 속건조도 많이 잡혔네요,
바이오더마 하이드라비오 에센스로션,말티츄,지성,여름쿨톤,모공,잡티,,,5점만점에 4점,2025.05.27,복합성에 좋아요,보습에 좋아요,자극없이 순해요,무난템🥰(내용수정 및 추가 후 재업로드 예정인 리뷰입니다),매장
바이오더마 하이드라비오 에센스로션,알랑구,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,복합성에 좋아요,진정에 좋아요,보통이에요,촉촉해요 화장하기 전에 팩 처럼 써주면 속보습 충전 완료임 제형도 가벼워서 항상 재구매함,매장
바이오더마 하이드라비오 에센스로션,센냥콩,복합성,웜톤,다크서클,미백,,,5점만점에 5점,2025.05.28,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극 없이 순하고 그냥 자기 전에 기초로 발라도화장 전에 기초로 발라도 돼요..특히 화장 전에 바르면 속건조 싹잡아줘서 건조하지 않고 화잘먹 미쳤답니다..,
바이오더마 하이드라비오 에센스로션,봄채,복합성,봄웜톤,미백,민감성,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.05.15,복합성에 좋아요,보습에 좋아요,자극없이 순해요,안개분사 공병이랑 같이 사용하면 쓰기 편한 제품입니다! 수분 충전하기 좋은 제품이라 데일리로 자주 사용하고 있어요!,매장
바이오더마 하이드라비오 에센스로션,classic****,복합성,쿨톤,민감성,홍조,,,5점만점에 5점,2025.07.02,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요,"🩵수부지, 홍조 피부타입- 한번 바르자마자 보습감과 수분감이 바로 느껴져수부지피부타입 추천-더운날씨에도 바르기 부담없고 흡수력이 빠른 편-홍조진정다만 향이 꽤 강한편이라 향에 민감하신분들그리고 거품이 나는 타입이라 트러블피부 or 예민한피부분들은 테스터 후 구매하세용",
바이오더마 하이드라비오 에센스로션,starblue,복합성,가을웜톤,모공,잡티,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.11,복합성에 좋아요,진정에 좋아요,보통이에요,"예전에 유튜브에 자주 뜨길래 궁금해서 구매해봤어요.저는 미스트 공병에 쓰진 않고 그냥 흡토 하고 있는데, 약간 콧물제형에 마무리감은 산뜻 촉촉한 느낌이라서 첫단계에 딱 적합한 것 같습니다.무난하게 속보습 충전하기에 좋은것 같아요.",
바이오더마 하이드라비오 에센스로션,miniminiminimin,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.06.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,여러번 레이어링하기 좋은 제형이라 많이 레이어링해서 수분채워주기 좋아요 물같으면서도 은근 쫀쫀해요다만 저는 향이 조금 거부감들었는데 이건 사람마다 다를거 같아요나쁜향은 아니구 걍 화장품 향이긴한데 저는 이정도도 좀 거슬리더라구요ㅠ,매장
바이오더마 하이드라비오 에센스로션,알랑구,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,복합성에 좋아요,진정에 좋아요,보통이에요,촉촉해요 메이크업 하기 전에 바르면 피부에 수분 충전 완료임,
바이오더마 하이드라비오 에센스로션,내지갑털어올영에다줌,,,,,,,5점만점에 5점,2025.06.03,지성에 좋아요,보습에 좋아요,자극없이 순해요,다들 좋다고 해서 사봤는데 정말 좋아요! 소량으로 여러번 두들기면 피부에 수분 공급이 되는 것 같아요 요거 바른 후에는 화장이 안 뜹니당,
바이오더마 하이드라비오 에센스로션,디오닝,복합성,쿨톤,트러블,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.03,복합성에 좋아요,보습에 좋아요,자극없이 순해요,다이소에서 안개분사 미스트 사서 본품에 갈아끼웠더니 미스트처럼 뿌릴 수 있어서 좋아요! 피부에 자극없이 순해서 막 뿌리기 좋아요.,
