product_name,id,tag,tag 2,tag 3,tag 4,point,date,txt_inner,point_flag,more_msg,thum src 4
아비브 수분초 히알루론 패드 하이드레이팅 터치,다랸,복합성,가을웜톤,다크서클,미백,5점만점에 5점,2025.06.26,수분 가득 패드에용 여름에 올려주고 화장하기 좋아요!! 최고야!,,,
아비브 수분초 히알루론 패드 하이드레이팅 터치,꺼억이,복합성,여름쿨톤,블랙헤드,잡티,5점만점에 5점,2025.05.13,이거 구라안치고 작년부터 리필까지 포함하면 열몇통은 산 듯이거 구라면 서면 한복판에서 똥쌈아무튼 수분 채워주기에 좋고 부드러운 면으로 전 팩토 닦토 다 함 피부가 예민하고 접촉성도 겨우 치료한거라…어성초가 유명해서 어성초 먼저 써봤는데 건성들 스킨케어 1단계에 수분 채워쥬고 열감 내리기 좋음 추천,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
아비브 수분초 히알루론 패드 하이드레이팅 터치,요이냥,복합성,봄웜톤,민감성,트러블,5점만점에 5점,2025.07.04,이거 리뷰 벌써 두번째 적는 거 같은데 세번짼가이 친구 겨울내내 제 수분을 꼬옥 챙겨준 소중한 아이임미다여름이라 현재는 안 쓰고 있지만... 겨울에 다시 복귀할 예정.패드도 자극적이지 않아서 닦토 가능. 팩토 가능.촉촉하고 수분감 댕쩔었음 좋겠성!! 하시면 구매하십셔,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
아비브 수분초 히알루론 패드 하이드레이팅 터치,당뵤,복합성,여름쿨톤,각질,모공,5점만점에 5점,2025.06.15,아침 저녁 수정화장 뭐든 이걸로 써서 산지 얼마 안됏는데 바로 다시 구매 갈겨버림 수부지 피부인 저는 에센스 왕많고 수분 짱짱한 제품 선호하는데 이게 바로 라잇 디스 팩토도 좋아 닦토도 좋아 그냥 좋아 개인적으로 에센스 많고 수분 많아서 팩토가 가장 좋아요 속수분 쨩쨩하게 넣어줍니다ㅋ,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,
아비브 수분초 히알루론 패드 하이드레이팅 터치,limha****,,,,,5점만점에 5점,2025.07.08,다른것도 써봤는데 다시 요아이로 재구매 해요무겁지 않고 촉촉하니 좋아요,,,
아비브 수분초 히알루론 패드 하이드레이팅 터치,envy****,,,,,5점만점에 3점,2025.06.18,여러모로 아쉬운 제품. 요즘엔 얇은 패드가 대세인데 예전의 두꺼운 패드로 팩보다는 닥토 용도가 맞는듯. 그리고 용기가 제일 별로인데 뚜껑을 여닫는게 너무 불편함. 패드 제품 중 돌려서 여닫는 스타일의 이 제품이 유일할듯! 너무 불편함,,,
아비브 수분초 히알루론 패드 하이드레이팅 터치,임유리,,,,,5점만점에 5점,2025.07.05,"저는 복합성 피부인데, 이 제품 정말 촉촉하고 너무 만족스러웠어요.특히 여름에 사용하기 좋은 가벼문 제형이라 피부에 자극 없이 산뜻하게 수분을 채워줘요.패드를 얼굴에 올려두면 피부가 금세 진정되고, 사용 후에는 촉촉하고 부드러운 피부결이 느껴져요. 무엇보다 피곤한 날 붙이면 피부도,기분도 편안해지는 느낌이라 자꾸 손이 가요. 데일리 케어로 추천드리고 싶은 제품이에요.🩵💙",,,
아비브 수분초 히알루론 패드 하이드레이팅 터치,망로미,트러블성,여름쿨톤,각질,다크서클,5점만점에 5점,2025.07.09,이 패드 좋은데 왜 안유명한지 모르겠습니다....수분용으로 매우 좋아요뭔가 피부가 보들보들해지는 느낌도 있슺니당...전 늘 화장하기전에 해줘요!,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
아비브 수분초 히알루론 패드 하이드레이팅 터치,키위모리,민감성,여름쿨톤,다크서클,민감성,5점만점에 5점,2025.07.04,"수분라인이라 무난하게 쓰기 좋아요 ~! 가끔 할인 안 하면 사기 좀 망설여지는 가격이지만 ^^,, 어성초에 가려진 수분라인이랄까 건성에게 추천핑이에요 할인 좀 자주 해주쇼",,,
아비브 수분초 히알루론 패드 하이드레이팅 터치,스누피와오디,민감성,가을웜톤,민감성,블랙헤드,5점만점에 5점,2025.07.04,그다지 싼 편은 아니지만 미국 친구 놀러왔을 때 사줬어요. 미국은 토너패드가 흔하지 않다고 해서..,,,
