product_name,id,top,top href,tag,tag 2,tag 3,tag 4,point,date,txt,txt 2,txt 3,txt_inner,txt_beauty,num,point_flag,more_msg,ico_offlineStore,thum src 4
아비브 부활초 크림 뉴트리션 튜브,에이플랫,TOP 350,javascript:;,복합성,여름쿨톤,다크서클,모공,5점만점에 4점,2025.06.07,건성에 좋아요,진정에 좋아요,자극없이 순해요,저랑 신랑이랑 잘쓰는 제품이에요! 용량이 아쉬운데 대용량으로도 나왔으면 좋겠어여,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",26,,,,
아비브 부활초 크림 뉴트리션 튜브,무무럽럽럽,TOP 481,javascript:;,,,,,5점만점에 5점,2025.06.30,건성에 좋아요,보습에 좋아요,자극없이 순해요,여름에 사용하기에는 좀 무겁지만 가을겨울 봄에ㅜ사용하고 있어요 좋습니다,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,,
아비브 부활초 크림 뉴트리션 튜브,beckyy,,,복합성,여름쿨톤,민감성,트러블,5점만점에 5점,2025.07.05,건성에 좋아요,보습에 좋아요,자극없이 순해요,"벌써 재구매만 n번째입니다,, 몇 번 샀는지 기억도 안 나는데 진짜 수분 꿀템이에요! 예전에는 철 소재였나 쨋든 뭔가 쉽게 짜기가 어려웠어서 다른 제품으로 갈아탈까 생각하고 있었거덩여,, 근데 어느새부턴가 튜브로 리뉴얼 됐는데 전보다 훨신 편하고 지금까지도 잘 쓰고 있어요! 제형이 다소 무겁다보니까 나이트루틴에 잘 써주고 있고 뭔가 얼굴이 당긴다?하면 무조건 발라주고 있어요! 속건조 잡기에 너무너무 좋은 제품입니다ㅏ","※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,,,매장,
아비브 부활초 크림 뉴트리션 튜브,마찌마찌,TOP 726,javascript:;,건성,쿨톤,잡티,주름,5점만점에 5점,2025.06.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,꾸준히 구매해서 사용하는 제품이에요.부활초의 트레할로오스 성분이 들어있어서 피부에 수분길을 열어서 촉촉하게 해주는 크림이에요.꾸덕한 제형이지만 피부온도에 스르르 잘 녹아서 부드럽게 발리는편이에요. 처음부터 많은 양을 바르기 보다는 소량씩 짜서 손에서 녹여가며 사용하니까 좋더라구요.다른 화장품들과도 궁합이 좋아서 한겹 바르고 나서 수분크림 또는 보습크림을 위에 추가로 덧발라주고 있는데 좋아요.무향에 끈적임이 없고 화장전에 발라도 밀리지 않아요.,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2,,,,
아비브 부활초 크림 뉴트리션 튜브,에이플랫,TOP 350,javascript:;,복합성,여름쿨톤,다크서클,모공,5점만점에 4점,2025.07.09,건성에 좋아요,진정에 좋아요,자극없이 순해요,예민한 피부라 매번 아비브 제품 잘 쓰고 있어요! 디자인도 이쁘고 진정에 괜찮더라구요!,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,,
아비브 부활초 크림 뉴트리션 튜브,솔직리뷰주의,TOP 465,javascript:;,민감성,쿨톤,미백,잡티,5점만점에 5점,2025.06.21,복합성에 좋아요,진정에 좋아요,보통이에요,진짜 고보습에 3번구매했는데 주름에 탁월한것 같아요 보습력이 짱이예요,,6,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,,
아비브 부활초 크림 뉴트리션 튜브,안경쓴짤랑이,,,트러블성,쿨톤,각질,모공,5점만점에 5점,2025.06.25,복합성에 좋아요,보습에 좋아요,자극없이 순해요,항상 쓰던거라서 삿어요 원래 1+1 기획이 있던거같은데 그게 다시 돌아왓으면 좋겟네요 ㅎ,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,,,,
아비브 부활초 크림 뉴트리션 튜브,엠마스톤,,,건성,겨울쿨톤,민감성,아토피,5점만점에 4점,2025.06.24,복합성에 좋아요,진정에 좋아요,보통이에요,핸드크림같은 패키징인데 쓰기 좋아요 오래 지속되는 느낌보다는 즉시 보습느낌이라 지성 나이트 타임으로 추천합니다,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,매장,
아비브 부활초 크림 뉴트리션 튜브,젤리마스크,TOP 38,javascript:;,건성,여름쿨톤,각질,모공,5점만점에 5점,2025.05.15,건성에 좋아요,보습에 좋아요,자극없이 순해요,부활초 성분 들어있어서 모공 탄력 피부장벽 강화에 도움이 돼요 세럼이랑 같이 사용하면 속건조도 사악 잡아줘서 좋아용,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",7,,,,
아비브 부활초 크림 뉴트리션 튜브,몽하,,,건성,쿨톤,민감성,블랙헤드,5점만점에 5점,2025.07.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,굳굳 세일할 때 저렴하게 구매했어요~~ 매번 재구매하는 상품입니다,"※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",0,,,매장,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
