"id","tag","tag 2","tag 3","tag 4","point","date","txt","txt 2","txt 3","txt_inner"
"에이플랫","복합성","여름쿨톤","다크서클","모공","5점만점에 3점","2025.09.04","건성에 좋아요","보습에 좋아요","자극없이 순해요","효과가 엄청 빠르게 있진 않아요 ㅠ바른 지 한달이 넘어가는데 60% 색소침착이 남아있는거 느낌? 효과는 아예 없지 않는데 인내심을 가지구 아침저녁으로 발라줘야해요 ㅠ벌써 세통째 구매하네요"
"에이플랫","복합성","여름쿨톤","다크서클","모공","5점만점에 4점","2025.09.04","건성에 좋아요","보습에 좋아요","자극없이 순해요","한달이 넘게 쓰는데 색소침착이 연해지는건너무 시간이 걸리네요 ㅠ 다른제품으로 갈아탈까하다가 이번만 다시 써보고 재구매안할려구여 ㅠ"
"커디비","트러블성","웜톤","모공","민감성","5점만점에 5점","2025.09.27","복합성에 좋아요","진정에 좋아요","자극없이 순해요","진짜 너무너무 좋은 제품이에요!! 흉터 관리에 진심인데 몇 주동안 바르면 흉터가 가라앉아서 넘 좋아요!"
"요르요르","지성","여름쿨톤","민감성","블랙헤드","5점만점에 5점","2025.08.31","복합성에 좋아요","주름/미백에 좋아요","자극없이 순해요","지금 3통째 사용하고 있고, 이 때 구매한 제품도 80% 이상 다 써갑니당 여드름 피부인데 색소침착이 잘 남는 편이라 사용하기 시작한 제품입니다! 처음 사용했을 땐 미백 제품은 사용 안 하고 진정 제품 위주로 사용했을 때라서 더 효과가 잘 느껴졌던 것 같아요. 근데 최근에는 사용하면서 약간 꾸덕한 제형을 지속적으로 한 부위에 올려주니까 속에서 피지가 생기는 느낌이었습니다. 아마 피부 타입이 속건조를 더 잘 느끼는 쪽으로 바뀌면서 전보다 뭔가 잘 안 맞는 것 같아요. 그래서 최근에는 비타민 제품이나 여드름 색소침착 전용으로 나온 제품을 열심히 발라주니까 확실히 색소침착 자체가 옅게 생기거나 빨리 사라지는 것 같아요. 색소침착 부위에 또 여드름이 생기는 일도 덜 생겨서 이 제품 다 쓰면 비타민 제품 위주로 사용하거나 좀 더 가벼운 겔 형태의 제품을 찾아볼 것 같습니다! 그치만 이 제품이 별로라는 말은 아니고 아무래도 화장품은 사바사가 크니까 저와 피부 타입이 비슷한 분들에게 도움이될까 싶어서 적어봤어요. 낫츠에서 좀 더 라이트한 버전으로 내주시면 꼬옥 다시 사볼게요!"
"사계절수분부족","복합성","겨울쿨톤","모공","민감성","5점만점에 5점","2025.09.20","복합성에 좋아요","진정에 좋아요","보통이에요","듬뿍 올리고 잡니다. 생각보다 양이 많아요. 아낌없이 써요"
"새콤한딸기","복합성","여름쿨톤","다크서클","모공","5점만점에 5점","2025.08.26","건성에 좋아요","보습에 좋아요","자극없이 순해요","흉터방지용 새살송송 연고로 최고가려움 없고, 흡수잘되고, 확실히 흉덜짐"
"멍예","건성","웜톤","잡티","주름","5점만점에 5점","2025.08.21","복합성에 좋아요","진정에 좋아요","자극없이 순해요","트러블 짜고 난 후에 얇게 발라주기 좋았어요ㅎㅎ 다음날 진정 빠르게 되요!"
"올영은뽁뽁이좀써라","복합성","여름쿨톤","각질","민감성","5점만점에 5점","2025.08.06","복합성에 좋아요","주름/미백에 좋아요","자극없이 순해요","nn개 재구매한 템용량이 적어서 아쉽지만 효과는 확실히 있음"
"영숙초이","지성","겨울쿨톤","모공","블랙헤드","5점만점에 5점","2025.09.05","지성에 좋아요","진정에 좋아요","자극없이 순해요","이거 사지마세요 저만 쓸거니깐….ㅋ 3통은 넘게 사용한 것 같아여 가격대가 있긴 하지만 그만큼 효과가 미쳣… 제 구원템 top3안에 듭니다 진짜 짠여드름, 상처, 흉터까지 다됩니다 이런 요물은 진짜… 저만 알고싶은 연고예요ㅜ 이것덕분에 여드름 흉터랑 여드름더 많이 줄었고 짠 여드름에 바르면 진짜 일주일만에 다 나아요 재생력 진짜 빠르게 해주는듯.. 이마에 난 왕여드름도 3일만에 다 나앗어유!!!! 진짜 추천"
"에이플랫","복합성","여름쿨톤","다크서클","모공","5점만점에 3점","2025.08.02","복합성에 좋아요","보습에 좋아요","자극없이 순해요","매번 피부가 간지러워서 긁으면 바로 색소침착이 되어 흉터 연고는 저한테 꼭 필요한데요! 기존에 사용하던 제품이 이제 생산을 중단하여 여러제품을 알아본 끝에 구매했는데 요개 리뷰가 많아서 두개 주문했는데 한개는 유통기한 23년까지인 제품을 보내줬더라구요!!바로 교환했네요 ㅠㅠ아직 사용한지 2주밖에 안됐는데 조금 희미해진 느낌은 있는데 부분적으로 상태가 달라서 좀더 써봐야알거 같아요~"
"여니유니","건성","웜톤","각질","미백","5점만점에 5점","2025.09.01","복합성에 좋아요","진정에 좋아요","자극없이 순해요","잘쓰는 제품입니다.다른건 대체제품 많이 사는데요건 쭉 구입하고 있어요"
"푸푸포푸","복합성","웜톤","민감성","","5점만점에 4점","2025.09.24","지성에 좋아요","진정에 좋아요","자극없이 순해요","원래 마x드랩 연고를 사용했었는데 그게 구매당시 세일을 안해서 이걸 구매해봤어요 저는 보통 트러블 압출하면서 주변살이 까졌을때 연고를 사용해줬는데 이 제품은 살갗을 아물게 해주는 용도보다는 다 아물고 나서 흔적 케어를 하는 용도로 써야할것같아요. 생각했던 것보다는 좀 아쉽긴하지만 그래도 흔적케어에는 도움되는것같아 꾸준히 써보려고합니다"
"pinkyrian","건성","쿨톤","미백","민감성","5점만점에 5점","2025.08.12","건성에 좋아요","보습에 좋아요","자극없이 순해요","센텔라 성분이 가득한 낫츠 센텔라스카 연고는 자극 받은 피부를 부드럽게 진정시켜 주는 제품이에요. 일랑일랑 향이 은은하게 퍼져 사용할 때마다 기분까지 편안해져요. 작은 상처나 붉은 자국, 피부 트러블 부위에발라주면 빠르게 진정 효과를 느낄 수 있었고,꾸준히 사용하니 피부 회복력이 좋아지는 게 확실히 느껴졌어요. 휴대하기 좋은 사이즈라 언제 어디서든 간편하게 케어할 수 있어 더욱 만족스러웠습니다."
"eunniiee","민감성","쿨톤","민감성","잡티","5점만점에 5점","2025.09.07","복합성에 좋아요","진정에 좋아요","자극없이 순해요","몇 통째 재구매인지 모르겠는데 없으면 불안해서 쟁이는 템,,첨에 속는셈 치고 샀던게 벌써 꾸준히 사게되네요 근데 너무 맨날 써서 약간 내성생긴 거 같기도 하고? 하튼 안 바를 때보단 ㅈ발라야 진정이 돼서ㅜㅠ 있긴 해야함"
"올챙냠냠","복합성","가을웜톤","모공","미백","5점만점에 5점","2025.08.11","복합성에 좋아요","보습에 좋아요","자극없이 순해요","효과 생각보다 좋았어요 마음에 들어요 용량이 작은 편이라 아쉬워요"
"솔라오","민감성","여름쿨톤","모공","트러블","5점만점에 5점","2025.08.09","복합성에 좋아요","주름/미백에 좋아요","자극없이 순해요","자극감없이 연고같은 느낌이에요사용감도 좋고 짜서 바르기에도 편해요"
"마포병아리콩","복합성","쿨톤","민감성","홍조","5점만점에 5점","2025.08.07","복합성에 좋아요","진정에 좋아요","자극없이 순해요","수분크림에 섞어서 발라주세요! 스팟으로 발라도 좋지만그렇게 섞발하면 피부가 쫀쫀하고 회복력이 빨라지는 기분이들어요! 작년 여름부터 썼는데 흉터도 많이 사라져서 도움받고있는 기분이라 두통정도 쟁여놨어요!"
"너궁구리","복합성","여름쿨톤","주름","트러블","5점만점에 5점","2025.09.16","복합성에 좋아요","진정에 좋아요","보통이에요","하도 유튭에서 찬양하고 여드름 검색만하면 나오는 추천템이길래 사용중인데여 (한8번넘게산듯 기억도안남 하두마니사서)솔직히 유튭에서말하는거나 인기에비해 저는 그만큼 효과가있는진모르겠어여 노스카나가 효과는 더확실한듯대신 노스카나 같은 연고는 전체적으로 피부에 바를수없으니 부담안가게 재생연고겸+흉터있는부분에 전체적으로 넓게 도포해서 부담없이바르기엔좋아여안쓰는것보단 낫겠지 싶음 맘으로 꾸준히쓰고있슴다..😇"
