product_name,id,tag,tag 2,tag 3,tag 4,point_flag,point,date,txt,txt 2,txt 3,txt_inner
닥터지 더모이스처 배리어D 인텐스 크림,리리578,건성,봄웜톤,모공,미백,한달이상사용,5점만점에 5점,2025.07.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,"🔸닥터지 더모이스처 배리어D 인텐스크림 : 제가 이 제품을 사용하고 이렇게 오랜기간 사용하게 될줄은 몰랐는데, 2년반 동안 이 제품을 꾸준히 사용하고 있어요. 밤 기초 마무리단계로 수분크림용으로 사용중인데, 사용할 때는 잘 모르겠다 싶어도 사용하지 않으면 아침에 건조함을 느끼게 되는 제품입니다. 피부자극도 없고 꾸덕한듯 가벼운듯 알쏭하게 발리는 발림성이지만, 저녁 기초 마무리단계에수 피부를 덮어주듯 가득 바르고 자면 다음날까지 수분장벽을 잘 지켜주는 크림입니다. 제가 조금 노화방지를 위해 더 리치한 제품들로 업그레이드해서 크림을 바르면 피부트러블이 폭발할 때가 있는데, 그들을 중단하고 다시 닥터지 더모이스처 배리어D로 돌아오게 하는 마법같은 제품입니다. 순한 제품이라 자극을 원하지 않는 분들에게 좋은 수분장벽크림이니 사용해보시는 걸 권유합니다. 저는 이 후기쓰는 여행지에서도 꼭 챙겨오는 제품이예요^^"
닥터지 더모이스처 배리어D 인텐스 크림,김츄츄,건성,겨울쿨톤,각질,아토피,,5점만점에 5점,2025.07.27,건성에 좋아요,보습에 좋아요,자극없이 순해요,악건성인데 화장하기 전에 무조건 바르는 크림입니다!! 화장 잘 뜨고 각질 많이 일어나시는 건성 분들은 진짜 정말정말 추천드랴요ㅛ 지성이나 복합성 분들은 많이 기름지다고 느낄 수도 있을 것 같슴다
닥터지 더모이스처 배리어D 인텐스 크림,화사한웜코덕,,,,,한달이상사용,5점만점에 5점,2025.05.31,복합성에 좋아요,보습에 좋아요,자극없이 순해요,현직메컵아티스트입니다이거 안맞는 분 한번도 못봤어용 기초할때 선크림 직전에 발라주고 흡수시켜주고 선크림들어가는데 이거만큼 피부를 쫀쫀하고 자극없는 거 아직 못찾…
닥터지 더모이스처 배리어D 인텐스 크림,앙정,건성,봄웜톤,모공,잡티,,5점만점에 5점,2025.06.22,복합성에 좋아요,진정에 좋아요,보통이에요,보습 필요할때 사용하고 있어요가볍게 바르기 좋고 보습을 필요로할때는 듬뿍 발라주고 있어요
닥터지 더모이스처 배리어D 인텐스 크림,mimilike,건성,웜톤,각질,주름,,5점만점에 4점,2025.07.11,건성에 좋아요,보습에 좋아요,자극없이 순해요,다른 크림들과 비교해서 확실히 가려움에 효과가 있어요. 그래서 저는 아토피 올라오는 부분에 발라주는데 세라마이드 크림 특유의 보들보들한 촉감으로 마무리되서 옷감에 스쳐도 자극이 없어서 좋아요. 얼굴에 바르면 다른 크림은 간질간질거림이 조금씩 있는데 이 크림은 안그래요! 대신 건성임에도 불구하고 여름에는 얼굴에 바르면 자잘자잘하게 좁쌀이 턱밑에 가끔 생기더라고요. 이 부분은 겨울에 바르면 괜찮을거같기도 해요! 그리고 막 때처럼 밀리는건 아닌데 많이 문지르면 실리콘 연고 밀리는거처럼 약간 밀려요..그렇다고 화장할때 막 문제가 되거나 하지는 않는정도? 뭐 이러한 거슬리는 부분들이 있긴 한데 간지러움이나 속보습은 확실히 잡아주는 것 같아요! 이 크림바르면 아침부터 저녁 이후까지 건조하지 않더라고요~
닥터지 더모이스처 배리어D 인텐스 크림,아와아,,,,,,5점만점에 5점,2025.07.10,건성에 좋아요,보습에 좋아요,자극없이 순해요,동생한테 추천받아서 써보기 시작했는데 자극없고 너무 좋아요 종류별로 매번 구입해서 사용 중입니다
닥터지 더모이스처 배리어D 인텐스 크림,leeda****,,,,,한달이상사용,5점만점에 5점,2025.07.29,건성에 좋아요,보습에 좋아요,자극없이 순해요,하 이건 진짜 제가 사랑하는 제품인데요 ㄹㅇ 보들보들 촉촉 하지만 끈적이지는 않는 그런제품인ㄷ요 겨울에 쓰기 ㄹㅇ 좋아요 물론 여름도 좋아요 피부가 막 제가 다 뜯겨나가거든요건조하면 근데 이거를 바르면 그게 잠잠해져요 ㄹㅇ 좋아요 여려붖 ㅠ
닥터지 더모이스처 배리어D 인텐스 크림,슈우슉,건성,다크서클,미백,,한달이상사용,5점만점에 5점,2025.07.30,건성에 좋아요,보습에 좋아요,자극없이 순해요,이거는 여름엔 쓰기엔 두꺼울순있는데 저같은 건성에는 여름에도 살짝 올려써도 좋더라고요!
닥터지 더모이스처 배리어D 인텐스 크림,LAYZI,건성,여름쿨톤,다크서클,탄력,,5점만점에 5점,2025.07.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,생각보다 좀 무거운 편이라 양을 적게 쓰는데 적게 발라도 보습이 잘 돼요
닥터지 더모이스처 배리어D 인텐스 크림,panda****,,,,,,5점만점에 5점,2025.07.03,건성에 좋아요,보습에 좋아요,보통이에요,"고보습 크림으로, 피부 장벽 강화에 효과적이에요. 텍스처는 리치하지만 끈적이지 않고 흡수가 빨라서, 건성이나 민감성 피부에도 적합해요. 특히 겨울철이나 피부가 예민해졌을 때 진정 효과가 확실해요.This is a rich, highly moisturizing cream that strengthens the skin barrier. Despite its thick texture, it absorbs quickly and doesn't feel sticky. Great for dry or sensitive skin, especially during winter or when your skin is irritated."
