product_name,id,tag,tag 2,tag 3,tag 4,point_flag,point,date,txt,txt 2,txt 3,txt_inner
닥터지 블랙 스네일 크림,Layla,복합성,여름쿨톤,모공,탄력,재구매,5점만점에 5점,2025.07.12,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요,국민크림 닥터지 진짜너무너무 좋아요가격도 좋은데 원쁠원도 자주해주시고게다가 왠만한 비싼 크림들보다훨씬좋아서 매번구입하고있어요진짜 애정템입니다
닥터지 블랙 스네일 크림,초이2011,민감성,쿨톤,모공,미백,재구매,5점만점에 5점,2025.07.20,복합성에 좋아요,보습에 좋아요,자극없이 순해요,후기가 좋아서 사봤어요. 사용감이 괜찮은거 같아요 만족스러워요
닥터지 블랙 스네일 크림,Alyssadetrang,민감성,웜톤,,,한달이상사용,5점만점에 5점,2025.07.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,This product is really good. I have been using it for long. I will definitely continue to buy it in the future.
닥터지 블랙 스네일 크림,GOLD여우냥,,,,,재구매,5점만점에 4점,2025.06.18,복합성에 좋아요,보습에 좋아요,보통이에요,이 제품은 완전 악건성이 사용하는 것보단 복합성에 가까운 건성이 사용하기에 더 알맞을 것 같습니다 바르고 나면 뭔가 좀 부족하여서 좀 더 다른 크림을 발라 주고 있습니다 사용감은 나쁘지 않으나 완전 건성에 딱 맞는 크림이라고 하기엔 약간 부족합니다
닥터지 블랙 스네일 크림,영화로운,복합성,쿨톤,다크서클,모공,,5점만점에 5점,2025.06.07,복합성에 좋아요,진정에 좋아요,보통이에요,"일단 몇통을 비웠고요. 매끄럽고 윤기있는 크림 타입이에요. 밀착력 좋은편.약간의 향이 있는데, 개인적으론 무향을 선호하지만.. 그렇다고 이 향이 거슬릴 정도는 아니라 그냥 써요 ㅎㅎ사계절 그냥 무난하게 쓸 크림이라 생각됨.후기가 도움이 됐다면 [도움이 돼요]👍 눌러주시면 감사합니다🧡"
닥터지 블랙 스네일 크림,hawaii코코넛,복합성,쿨톤,미백,주름,재구매,5점만점에 5점,2025.07.12,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요,늘 사용하는거고 재구매해서 엄마한통 나한통 같이 사용해요. 엄마는 설화ㅅ랑 섞어쓰고 저는 입생크림이랑 섞어사용해요.
닥터지 블랙 스네일 크림,스으으을,복합성,가을웜톤,모공,블랙헤드,한달이상사용,5점만점에 5점,2025.07.09,복합성에 좋아요,진정에 좋아요,보통이에요,할인도 자주 많이 해서 늘 꾸준히 사용중입니다배송도 빠르고 너무 좋아오
닥터지 블랙 스네일 크림,고캭이,복합성,봄웜톤,민감성,잡티,재구매,5점만점에 5점,2025.07.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,엄마의 최애템 또 구매하심 저도 겨울에 잘 써요 향이 있는편!엄청 미끄덩거리진 않어용
닥터지 블랙 스네일 크림,고캭이,복합성,봄웜톤,민감성,잡티,재구매,5점만점에 5점,2025.07.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,엄마가 겨울이고 여름이고 쓰시는 제품이에요가성비좋아서 그냥 막 쓰시기좋대요비싼거사서 아끼느라 쪼끔 바르는거보다도 좋다고..ㅎㅎ
닥터지 블랙 스네일 크림,Layla,복합성,여름쿨톤,모공,탄력,재구매,5점만점에 5점,2025.06.12,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요,왜 국민크림이라고 불리는지알거같아요진짜 가격도 너무너무좋고제품자체도 너무너무 좋아요이런좋은 제품을 이런가격에 사용할수있다니!너무너무 좋아요!영양감도 충분해서 30대이후도 사용하기 너무 좋은거같아요
닥터지 블랙 스네일 크림,이샤샤,중성,쿨톤,주름,홍조,,5점만점에 5점,2025.07.20,복합성에 좋아요,보습에 좋아요,자극없이 순해요,I asked a worker what cream is best for a 50yo and showed me this. Saw a lot of reviews saying their parents loved this product. waiting for my mom’s approval
닥터지 블랙 스네일 크림,너들이,건성,웜톤,모공,미백,,5점만점에 5점,2025.07.09,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요,부모님 선물해드렸는데 너무 좋아하시네요! 주름에 효과가 진짜 이것만큼 좋은 게 없는 거 같아요~
닥터지 블랙 스네일 크림,세니,건성,겨울쿨톤,민감성,트러블,재구매,5점만점에 5점,2025.07.20,건성에 좋아요,보습에 좋아요,보통이에요,"닥터지 스네일 크림은 진짜 국민크림이라 불릴 만해요!촉촉하면서도 끈적임 없고, 가격 대비 품질이 훌륭해서 재구매템으로 정착했어요.할인도 자주 하고 배송도 빨라서 쟁여두기 좋고, 겨울철 보습템으로 딱이에요.가족들도 함께 쓰는 애정템이라 앞으로도 꾸준히 사용 예정입니다🧴💛"
닥터지 블랙 스네일 크림,원종동소매치기,민감성,봄웜톤,모공,미백,,5점만점에 3점,2025.07.20,건성에 좋아요,보습에 좋아요,자극이 느껴져요,"한줄평 : 자극 있음 냄새 강함 촉촉은 한듯 무거움- 사용감살짝 해동시켜서 녹은 버터를 얼굴에 바르는 느낌- 자극피부가 얇고 민감해서 자극이 있는 제품은 코옆,밑쪽에서 따가움이 느껴지는데 얘가 그랬음- 무게감무거움 절대 가볍지 않음 잔여감도 강한 편- 총평수부지는 한겨울템으로는 ㄱㅊ할수도,,, 저는 걍 목에나 바를라고요"
닥터지 블랙 스네일 크림,jinnnnn,,,,,,5점만점에 5점,2025.06.23,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요,아빠가 탄력크림을 찾으셔서(여자보다 피부에 관심이 많으신🤭) 올리브영에서 크림 이거저거 찾아보다베스트로 뜨길래 닥터지 블랙스네일 구매해봤어용 아빠가 좋아하실거 같아요타이밍 좋게 쪼꾸미 영양크림 주셔서 휴가갈때도 챙겨가라고 하면 될거 같아용한달 후기로 돌아올게용 !!!
닥터지 블랙 스네일 크림,h9e0ne,,,,,,5점만점에 5점,2025.07.01,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요,선물하려고 구매한건데 기획이 좋아서 구매했고 양이 많고 믿는 닥터지라 잘 사용하고 있어요! 맘에 들어 하시더라고요!
닥터지 블랙 스네일 크림,초이2011,민감성,쿨톤,모공,미백,한달이상사용,5점만점에 5점,2025.06.25,복합성에 좋아요,보습에 좋아요,자극없이 순해요,여름에는 살짝 부담스럽지만 에어컨 바람 때문에 건조할때가 많아 좋아요.
닥터지 블랙 스네일 크림,초이2011,민감성,쿨톤,모공,미백,재구매,5점만점에 5점,2025.06.20,복합성에 좋아요,보습에 좋아요,자극없이 순해요,크림은 이만한게 없어서 자주 사게되요. 보습에 확실히 좋아요.
닥터지 블랙 스네일 크림,알리바바,복합성,웜톤,블랙헤드,,한달이상사용,5점만점에 5점,2025.06.18,복합성에 좋아요,진정에 좋아요,보통이에요,요즘처럼 더운 날씨 피부를 진정시켜 주기에 제일 좋은거 같습니다
닥터지 블랙 스네일 크림,스으으을,복합성,가을웜톤,모공,블랙헤드,,5점만점에 5점,2025.06.07,복합성에 좋아요,진정에 좋아요,보통이에요,늘 꾸준하게 사용하고 있습니다할인도 자주하고 너무 좋습니당
닥터지 블랙 스네일 크림,Hana99,건성,웜톤,블랙헤드,,,5점만점에 5점,2025.06.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,순해서 어떤 타입에 피부라도 사용하기 좋은 것 같아요 자극 없어서 양도 많고 다 좋아요
닥터지 블랙 스네일 크림,고캭이,복합성,봄웜톤,민감성,잡티,재구매,5점만점에 5점,2025.06.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,엄마 사드리고 작은 샘플은 제가 쓰고있는데엄마랑 저 둘다 건성이고 마무리로 발라주기 좋은 제품이에요꾸덕합니다
닥터지 블랙 스네일 크림,해짜나,,,,,,5점만점에 5점,2025.06.09,건성에 좋아요,보습에 좋아요,자극없이 순해요,친구 집에서 바르고 반해서 구매한 닥터지 달팽이크림유명하다는 건 알고 있었는데.. 진짜 건성 피부에 최고입니다펴발리는 느낌도 좋고 광채나는데 속건조 1도 없고 다음날까지 촉촉한 느낌이에요!!!
닥터지 블랙 스네일 크림,바나나먹는기영,,,,,한달이상사용,5점만점에 5점,2025.07.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,군대에서 동생이 사다줘서 닥터지를 처음 알게되었는데요 진짜 보습이 잘되어서 원래 각질이 잘 일어나는 피부였는데 많이 개선되어서 기쁩니다. 저는 로션대용으로 쓰고 있어요 여름에 바르기엔 좀 리치하지만요 ㅋㅋ 다른 제품도 써보고 싶어요
닥터지 블랙 스네일 크림,쵸코됴아,,,,,,5점만점에 5점,2025.06.05,건성에 좋아요,보습에 좋아요,보통이에요,건상피부라서 보습을 위해 구매했어요 리뷰에 검정통에 있는 크림이 더 좋다는 평이있어 그것으로 구매하려했지만 아쉽게 품절이라서 그냥 구매했어요 꾸벅하고 흡수도 잘되고 촉촉한 느낌으로 잠자고 아침에 일어나면 피부가 촉촉하고 부드러웠어요세일해서 좋아요
닥터지 블랙 스네일 크림,foranget,건성,쿨톤,모공,주름,한달이상사용,5점만점에 5점,2025.06.29,복합성에 좋아요,보습에 좋아요,자극없이 순해요,발림성 좋고 촉촉하고 흡수 잘 되는 것 같아요.후기 많길래 사봤는데 좋은 것 같아요
닥터지 블랙 스네일 크림,욱영,,,,,한달이상사용,5점만점에 4점,2025.06.25,복합성에 좋아요,주름/미백에 좋아요,보통이에요,저희 아빠가 쓰고있는데 주름개선 피부탄력개선은 잘 모르겠어요
닥터지 블랙 스네일 크림,탱구423,트러블성,쿨톤,모공,민감성,한달이상사용,5점만점에 4점,2025.06.17,복합성에 좋아요,진정에 좋아요,보통이에요,어머니한테 사드렸는데 딱히 엄청 좋은건 아닌거같구 그냥 무난하게 사용하기엔 괜찮은거같아요
