"id","tag","tag 2","tag 3","tag 4","point","date","txt","txt 2","txt 3","txt_inner"
"코코천사","복합성","겨울쿨톤","각질","다크서클","5점만점에 5점","2025.09.08","지성에 좋아요","진정에 좋아요","자극없이 순해요","여드름이 볼 부위에 많이 나서 고민이 조카 위해 구입 했네요. 바르자 마자 피부가 진정 되면서   촉촉해서 좋아요."
"환이죠","중성","가을웜톤","다크서클","모공","5점만점에 5점","2025.09.02","건성에 좋아요","보습에 좋아요","자극없이 순해요","자극 없이 순하고 끈적이지 않아요. 수분감이 촉촉하게 느껴지네요."
"HayanS2","건성","봄웜톤","블랙헤드","잡티","5점만점에 5점","2025.09.03","복합성에 좋아요","진정에 좋아요","자극없이 순해요","발림성도 부드럽고 판테놀 성분이 많이 들어있어서 좋아용!"
"고로케를왜고로케먹냐","","","","","5점만점에 5점","2025.09.10","복합성에 좋아요","보습에 좋아요","자극없이 순해요","이 제품은 처음에는 단순한 보습 크림 정도로 생각하고 사용을 시작했는데, 한 달 동안 꾸준히 써보니 진정·장벽 강화·보습 세 가지 효과를 동시에 주는 제품이라는 걸 알게 되었습니다. 저는 여름에도 피부가 예민하고 쉽게 건조해지는 편이라 보습제 선택에 신경을 많이 쓰는데, 이 크림은 사용감이 무겁지 않으면서도 보습 지속력이 뛰어나서 만족스러웠습니다.첫 사용 시에는 부드럽고 촉촉하게 발리는데, 흡수 속도가 빠르고 끈적임이 남지 않아 바로 메이크업을 해도 들뜨지 않았습니다. 덱스판테놀 성분 덕분인지 피부가 당기거나 건조할 때 바르면 금세 편안해지고, 특히 세안 후 붉어지거나 민감해진 피부에 바르면 열감이 가라앉는 게 바로 느껴졌습니다.1주차에는 단순히 촉촉하고 편안하다는 느낌이었다면, 2주차부터는 피부결이 정돈되면서 잔잔한 각질이 덜 생기기 시작했습니다. 저는 코 주변이나 입가에 각질이 자주 일어나는데, 이 제품을 쓰면서 확실히 개선되었고 메이크업도 훨씬 매끈하게 올라갔습니다. 3주차부터는 피부 장벽이 강화된 것처럼 외부 자극에도 덜 예민해졌습니다. 예전에는 날씨가 조금만 건조하거나 덥기만 해도 얼굴이 쉽게 붉어졌는데, 요즘은 안정적인 피부 상태가 유지되고 있습니다.마지막 4주차에는 피부가 전반적으로 촉촉하고 건강해 보이는 상태가 유지되었습니다. 특히 좋았던 점은, 여름철임에도 무겁지 않고 가볍게 흡수되면서도 충분한 보습감을 주는 점이었습니다. 가끔 밤에는 듬뿍 올려 수분팩처럼 사용했는데, 아침에 일어나면 피부가 훨씬 부드럽고 편안했습니다.전반적으로 자극 없이 매일 사용하기 좋은 크림이었고, 민감성 피부에게 특히 추천할 만한 제품입니다. 꾸준히 쓰면 피부 장벽 강화 효과까지 체감할 수 있어서 재구매 의사가 확실히 있습니다."
"rtd01","","","","","5점만점에 5점","2025.09.09","지성에 좋아요","진정에 좋아요","자극없이 순해요","동생이 광고 보고 이거 사서 바르고 있는데 일단 동생은 효과 봤다고 무척 좋아했어요! 요즘 제가 봐도 동생 피부가 좋아진 게 보여요!"
"여시코깽이같은냥","복합성","웜톤","각질","모공","5점만점에 5점","2025.08.31","복합성에 좋아요","진정에 좋아요","보통이에요","여름에 스기 좋은 크림은 아닌듯요그래도 보습은 좋아서 간절기나 겨울에 좋을듯해요"
"도연민재맘","지성","웜톤","아토피","잡티","5점만점에 4점","2025.08.31","복합성에 좋아요","진정에 좋아요","보통이에요","청소년딸사줬어요여드름에 효과있대서샀는데별로 소용없어요더남"
"슈에무라","","","","","5점만점에 5점","2025.08.26","건성에 좋아요","보습에 좋아요","자극없이 순해요","향은 있으니 참고하세요 자극도 없고 흔적 개선에 꽤 효과적이었어요"
"130613","복합성","봄웜톤","모공","블랙헤드","5점만점에 4점","2025.09.16","복합성에 좋아요","진정에 좋아요","보통이에요","진짜 ㄹㅇ 찐 100% 내돈내산 후기입니다!!일단 저는 굉장한 흔적 피부에 기름 좔좔 지성 피부인데요! 제가 써보고 느낀 점은 일단 지성에게는 조금 기름지다고 느낄 수 있을 거 같더라고요ᅮ 하지만 엄청 기름지다 정도는 아니에요! 그리고 비포 애프터 사진 보시면 아시겠지만 진짜 붉은 기가 금방 잡히더라구요! 근데 지금 막 난 여드름에는 효과 없으니 기대하지 마세용! 낮에 수분 크림 쓰고 밤에 이거 쓰면 금방 없어질거 같아요! 진짜 진짜 안심하고 쓰셔도 됩니다! 추천드려요용ㅇ"
"마늘공주","민감성","웜톤","민감성","잡티","5점만점에 1점","2025.08.07","건성에 좋아요","주름/미백에 좋아요","자극이 느껴져요","맙소사.. 제가 바이럴에 또속았슴!!! 😱😱😱흉터랑 여드름이 좀 있는 민감성인데흉터위에 한번 바르고잤는데 다음날 뭔 좁쌀 파티일어남그리고 고름여드름이 5개가났네요눈물나올거같아요 홍조 붉은기없앴는데 스멀스멀올라옴 ㅠ민감성이고 건성이고지성이고 다 안맞는듯요냄새도 충격적임"
"rtd01","","","","","5점만점에 5점","2025.08.10","복합성에 좋아요","진정에 좋아요","자극없이 순해요","동생이 좋아해용!! 피부 트러블이 심한데 이거 자주 발라주고요 ㅎㅎ 몇 주 쓰니까 괜찮아 보여요!"
"고로케를왜고로케먹냐","","","","","5점만점에 5점","2025.08.09","건성에 좋아요","보습에 좋아요","자극없이 순해요","반코르 덱스판테놀 크림은 처음 사용했을 때부터 확실히 다른 점이 느껴지는 제품이었다. 일단 제형이 너무 묽지도, 너무 무겁지도 않아서 바르는 순간 피부에 부드럽게 밀착되고, 흡수 속도가 빠르면서도 속까지 촉촉하게 채워주는 느낌이 든다. 특히 끈적이거나 번들거림이 거의 없어서 바른 직후에도 피부가 답답하지 않고, 바로 위에 다른 제품을 덧발라도 밀리거나 뭉침이 전혀 없다. 덕분에 아침에도 부담 없이 사용할 수 있고, 저녁에는 조금 더 두껍게 발라서 수면팩처럼 쓰면 다음 날 아침 피부결이 매끄럽고 촉촉하게 유지된다.가장 만족스러운 점은 민감한 피부에도 전혀 자극이 없다는 것이다. 피부가 예민해지거나 트러블이 올라오는 시기에도 자극 없이 편안하게 사용할 수 있었고, 덱스판테놀 성분 덕분인지 피부 진정 효과가 빨리 나타났다. 건조해서 붉어진 부위나 각질이 일어난 부분에도 발라주면, 몇 번 사용하지 않아도 확실히 진정되고 부드러워졌다. 또한 수분감만 채워주는 크림이 아니라, 보습막을 형성해 수분이 날아가지 않도록 오래 유지해 주는 느낌이라 하루 종일 피부가 편안했다.향이 강하지 않아 거부감 없이 매일 쓸 수 있다는 점도 장점이다. 성분 면에서도 자극적인 화학 향이나 색소가 없어서 민감성 피부, 심지어 아이 피부에도 발라줄 수 있을 정도로 순하다. 이런 점 때문에 가족 모두 함께 쓰는 멀티 크림으로도 손색이 없다.처음에는 지인 추천으로 사용했는데, 한 통을 다 쓰고 나니 왜 재구매율이 높은지 알게 됐다. 피부가 예민하거나 건조함이 심한 계절에 특히 빛을 발하는 제품이라, 겨울뿐 아니라 환절기에도 꼭 챙겨 바르게 된다. 다른 보습크림을 써봤지만, 발림성·흡수력·보습 지속력·진정 효과까지 이렇게 균형 잡힌 제품은 드물었다. 덕분에 한 번 쓰고 나면 다른 제품으로 대체할 생각이 전혀 들지 않고, 다 쓰기 전에 미리 재구매하게 되는 크림이다.결론적으로 반코르 덱스판테놀 크림은 ‘순함, 촉촉함, 지속력’ 세 가지를 모두 만족시키는 믿고 쓰는 제품이라 앞으로도 계속 재구매할 예정이다."
"PPOJJACKI","복합성","가을웜톤","각질","모공","5점만점에 5점","2025.08.05","복합성에 좋아요","보습에 좋아요","자극없이 순해요","진짜 제가 피부장벽 무너진거 같다. 무너질거 같다. 피부가 따갑다. 이럴때 사용하는 루틴이 유산균 원액 세럼이랑 바로 이 제품인데 모든 기초 마무리에 이 크림 발라주면 디음날 피부가 건강해지고 보들해지고 좁쌀이 많이 가라앉아 있고 피부도 안 따갑고 너무 좋아요ㅠㅠ 이 크림 없으면 못 살라어ㅠㅠ"
"마이매츄","","","","","5점만점에 5점","2025.09.30","건성에 좋아요","보습에 좋아요","자극없이 순해요","재쟈재구먀에요 이젠 냄새도 잫 안느껴지눈 경지에 이르럿읍니다"
"마이매츄","","","","","5점만점에 5점","2025.09.28","건성에 좋아요","보습에 좋아요","자극없이 순해요","피부 상해가고 장벽 아슬아슬한 요즘 필수템이애오 잘 쓰고 있어요"
"hry****","","","","","5점만점에 5점","2025.09.22","건성에 좋아요","진정에 좋아요","자극없이 순해요","여드름에 최고의 크림인듯 효과잘보고있어요 다쓰고나면 재구매각"
"다연니","","","","","5점만점에 3점","2025.08.02","건성에 좋아요","보습에 좋아요","자극없이 순해요","그냥 그럼.. 역시 바이럴이었어요ㅠㅠ 그래도 뭐가 나거나 하진 않아서 꾸준히 쓰긴 썼는데 별 효과 없.. 그리고 냄새 때문에 미치는 줄 알았어욤 ㅠ"
"PPOJJACKI","복합성","가을웜톤","각질","모공","5점만점에 5점","2025.09.21","복합성에 좋아요","보습에 좋아요","자극없이 순해요","피부 뒤집어지거나 피부 건강 장벽 생각해서 기초 마지막에 꼭 사용해주는데 짐짜 장벽이 무너졌울 때 사용하면 다음 날 피부가 안 따갑고 튼튼해진 느낌이 들어서 매일매일 꾸준히 발라줍니다."
"내아원","복합성","봄웜톤","각질","미백","5점만점에 5점","2025.09.27","지성에 좋아요","진정에 좋아요","자극없이 순해요","여드름 피부 때문에 스트레스였는데 많이 진정된 거 같아서 좋아요!!"
"kimms****","","","","","5점만점에 5점","2025.09.07","복합성에 좋아요","진정에 좋아요","자극없이 순해요","처음에 썻을땐 효과가 보였는데 점점 그럭저럭.. 그래두 장벽에 정말 좋고 트러블 가라앉히는데 좋아용 두껍게 올려주심 색소침착도..연해지는거같구여"
