"id","tag","tag 2","tag 3","tag 4","point","date","txt","txt 2","txt 3","txt_inner"
"골드양배추","민감성","여름쿨톤","민감성","잡티","5점만점에 4점","2025.09.28","건성에 좋아요","주름/미백에 좋아요","자극없이 순해요","얼굴에 조금이라도 수분?이 남아있으면 죽어도 안 발리니 토너나 앰플이 다 흡수된 뒤 바르셔야해요 ㅠㅠ발림성도 안 좋고 위에 이런 점도 불편했지만 바르고 일어나면 피부가 진정된 게 보여서 안 쓸 수가 없습니다 ..!!바르면 기름막이 생긴 것처럼 끈적거려요 근데 아침에 일어나도 뾰루지는 안 나는 것 보니까 기름막이 괜찮은가봐요피부 뒤집어졌을 때 자주 씁니다 !! 확실히 얘만큼 진정 빠른 건 없어요 ㅠ"
"kitexx","민감성","민감성","아토피","","5점만점에 5점","2025.09.09","건성에 좋아요","진정에 좋아요","보통이에요","평소 피부가 예민해 잘뒤집어져서 고민(열감,피부두꺼워지는느낌,가려움,좁쌀)이었는데 유튜브보다가 속는셈 치고 샀어요. 마침 올리브영 세일기간이어서 좀더 저렴하게 구매했습니다.일단 배송오자마자 사용했는데 눈시림없이 만족해요. (크림을 바로 얼굴에 바르지말고 손에비빈후 얼굴에 눌러 스며들게 발라주라고 해서 함 해봤는데 얇게 발려서 그런가 훨 나은듯한 느낌?)수부지+예민 피부에게 추천합니다!"
"belllaa","","","","","5점만점에 5점","2025.09.26","건성에 좋아요","보습에 좋아요","자극없이 순해요","저처럼 손에 한포진으로 고생해서 자극없이순한 크림 찾아헤매시는분은 이거꼭 써보세요ㅜㅜㅜㅜ저는 몸이나 얼굴피부는 너무좋아서 아무거나 주워발라서 성분순하다고 하는애들과 다른크림차이를 솔직히 못느끼고 살았거든요. 근데 손에 한포진생기고 상처랑 진물땜에 너~무 아픈데 보습은 해야하니 그냥 얼굴에 발랏던 크림 아무거나(그래도 올영에서 좋다고 판매상위 크림이었지만..)발랏더니 진짜 엄청자극적이고 한포진은 더퍼지고ㅜㅜ근데이거는 진물마른환부에 슥슥발라도 자극 하나도없고,,,!!!! 수포터지고 진물나서 피부가 정말 쿠킹호일마냥 얇아져있는 부위들에 꾸준히 발랐는데 살이 점점 재생되듯이 살이 투터워지고 차오르는게 느껴집니다🥹🥹얼굴크림을 손에 거의 한시간에 한번씩 바르니깐 훅훅줄고 아깝다는 생각들수잇지만 며칠만써보면 개꿀딱 가성비템이라는걸 알게됩니다. 너무순하고 피부재생력너무좋고 보습정말좋고 다른재생크림많이써봤지만 그중에 흡수 빠른편이고 백탁도 은근금방없어져서 손에 바르기 젤좋았습니다. 한포진있으신분들 넘힘드시죠.. 이게약은아니라 치료목적은아니지만 정말개쩌는 보조역이될수있을거같아요. 꼭써보세요!"
"렛츠끼끽","가을웜톤","트러블","","","5점만점에 5점","2025.09.24","복합성에 좋아요","진정에 좋아요","자극없이 순해요","저 이거 바르고 여드름피부가 많아 나아졌어요꾸덕하묜서 부드럽게 잘 발리는데 자극 1도 없고 진짜 순해요!살짝 시멘트? 냄새가 나는데 저는 참을만했어요 낮에 바르면 기름이 너무 많아 보여서 낮에 바르는 것 보다는 저녁에 자기전에 득뿍 바르는게 좋다고 느꼈어요!"
"jennie01","건성","여름쿨톤","탄력","","5점만점에 5점","2025.09.24","복합성에 좋아요","진정에 좋아요","보통이에요","리페어크림 중에 1등이에요꾸덕한 제형때문에 나이트용으로만 발라야합니다"
"요거다요거","트러블성","민감성","트러블","","5점만점에 5점","2025.08.22","복합성에 좋아요","진정에 좋아요","자극없이 순해요","3주 만에 여드름 염증+흔적 해결한 충격적인 조합●재구매 및 추천 의사●만족도 100% ✨재구매 의사 100% 💕추천의사 100% 🌟●구매동기●30대 들어서면서 스트레스성 여드름이 자꾸 올라오는데, 문제는 염증이 가라앉고 나서도 자국이 계속 남아있더라구요 😰  올리브영 여드름 라인 제품들 중에 아벤느 시파트 플러스 SOS 리페어 크림이 손상된 피부에는 효과가 좋다는 후기가 많더라구요~! ●좋아요●여드름이 올라올 때 저녁 스킨케어 때 발라주면 염증이 훨씬 빨리 가라앉아요 💎 아벤느 크림 특유의 촉촉하면서도 끈적이지 않는 질감이 좋긴한데 일반 크림보다 살짝 무거운 느낌이 있어서 저녁에 위주로 썼어요~!무엇보다 좋았던 건 피부 장벽 강화 효과예요. 민감성 피부라서 이것저것 바르면 자극받기 쉬운데, 크림은 오히려 피부를 진정시켜주면서 튼튼하게 만들어주는 느낌이었어요 ⭐덕분에 새로운 트러블도 덜 생기게 되더라구요.●아쉬워요●크림이 새로운 트러블 예방이나 빠른 진정에는 정말 좋지만, 기존 자국 개선에는 한계가 있는 것 같아요.●나만의 팁●약국에서 여드름 흔적 개선용으로 메디리턴겔을 추천받았어요! 비타민C 성분이 들어있어서 여드름 흔적 개선에 도움이 된다고 하시더라구요 💡 지금은 여드름이 올라오면 아벤느 크림으로 빠르게 진정시키고, 트러블이 가라앉고 나면 메디리턴겔로 흔적 케어하는 루틴으로 관리하고 있어요.●결론●민감성 피부도 안심하고 쓸 수 있는 정말 좋은 제품이에요 ⚡ 여드름 염증 케어와 피부 장벽 강화에는 확실한 효과가 있어서 꾸준히 쓰기 좋은 것 같아요. 특히 자극 없이 빠른 진정 효과를 원하시는 분들께 강추합니다! 여드름 자국 고민 있으시면 연고까지 같이 쓰시는 거 추천드려요.💎 3줄 요약1. sos 리페어 크림으로 여드름 트러블 빠른 진정과 피부 장벽 강화 효과 만족2. 기존 여드름 자국은 약국 추천 연고로 따로 관리 필요3. 두 제품 단계별 사용으로 3주 만에 트러블+흔적 동시 개선 경험"
"빰뽬2","","","","","5점만점에 5점","2025.08.28","복합성에 좋아요","주름/미백에 좋아요","보통이에요","재생크림이 필요해서 구매해봤는데 어떨지 너무 궁금해요일단 잘 사용해볼게요용량은 엄청 많은 느낌은 아니고 꾸덕한 제형이라 너무 빡빡 바르면 안될거 같아요 손으로 살살 조금씩 발라줘야할거 같습니다 일단 사용 해보고 한달 후기로 올게요~~"
"도그마","지성","봄웜톤","모공","탄력","5점만점에 2점","2025.09.24","복합성에 좋아요","보습에 좋아요","자극없이 순해요","발림성이 별로에요 잘 안펴발려지고 잘 발라지려면 오히려 손으로 계속 문지를수밖에없으니까 자극되는 느낌타사장벽크림에 비해 나아지는게 느린것같아요 개인적으로 효과가 그닥없었어요그리고 바르면 물처럼되는데 개인적으론 불호였어요"
"rr****","건성","주름","","","5점만점에 5점","2025.09.10","건성에 좋아요","보습에 좋아요","자극없이 순해요","피부  컨디션 안좋을때 좋아요바르고나면 피부가 하얘지고 좋아보여요"
"ckdbu****","복합성","쿨톤","모공","미백","5점만점에 5점","2025.09.02","복합성에 좋아요","보습에 좋아요","자극없이 순해요","여름에 쓰긴 조금 리치한 느낌이 있고 흡수가 어려운 편이다보니 손에 발라서 녹여서 얼굴에 발라줬어요. 그럼 하얗게 되는게 좀 나아서요산뜻보다는 리치한 보습이 필요할때 대부분 자기전에 발라줍니다.재구매 의사 있어요"
