"id","tag","tag 2","tag 3","tag 4","point","date","txt","txt 2","txt 3","txt_inner"
"무미니","건성","가을웜톤","미백","블랙헤드","5점만점에 5점","2025.09.04","건성에 좋아요","보습에 좋아요","자극없이 순해요","건성이라서 가끔씩 여름이라도 각질부각되고 진정시켜주면서 보습도 챙겨줘야할때 잇거든요!!쿨링도되면서 진정되고 보습도 같이잇는 크림찾다가 아비브거 한달넘게 사용중입니댜~아비브는 마스크팩도그렇고 세럼이나 패드 등 많이 사용해봐서그냥 후기안보곸ㅋㅋㅋ상세설명만 보고 바로 구매해서 사용중!건성이다보니 진정도되면서 보습도 채워줘야하거든요 ㅎㅎㅎ너무 가벼우면 건성인지라 여름이라도 얼굴 살짝 당김 느껴질수잇어서 보습도 챙기는편인데아비브 카밍튜브 적당히 보습있으면서 잘 발리고 순한거같아요!!여름이라서 또 너무 꾸덕한제형이면 얼굴에 계속 머리카락 들러붙고 짜증나거등요,,?알쥬?더운데 머리카락까지 붙으면안된다고.,, 근데 그런건없고 일어나도 유분기가 돈다거나 그런거없네용 ㅎㅎㅎ"
"샤이한고앵이","트러블성","봄웜톤","각질","다크서클","5점만점에 4점","2025.09.20","복합성에 좋아요","진정에 좋아요","자극없이 순해요","요철 없애려고 샀던건데 요철은 잘 모르겠지만 진정에는 좋아요. 여름에 잘 사용했습니다. 근데 개인적으로 부활초크림이 더 좋았어요. 각질 진짜 잘 눌러줍니다."
"softiee","약건성","봄웜톤","민감성","아토피","5점만점에 5점","2025.08.28","복합성에 좋아요","진정에 좋아요","보통이에요","여름에 항상 꺼내는 크림이에요 다 써서 구매!날이 더워지면 열감이 심한 수부지가 되는데 진정+여름용속건조 잡는템이랄까보들촉촉 연두색 크림인데 바르고나면 피부가 약간 파우더리?해지거든요 저는 그게 참 맘에 들어요당기지도 않고 수분도 딱 적당해요 근데 건성분들은따로 수분앰플 써주는게 좋긴할거에요 ㅎㅎ다만 용기가 딱딱해서 끝부분이 절대 안 나와요 💚도움이 되셨다면 [도움이 돼요] 한번 부탁드려요💚"
"무미니","건성","가을웜톤","미백","블랙헤드","5점만점에 5점","2025.08.05","복합성에 좋아요","진정에 좋아요","자극없이 순해요","아무래도 여름이다보니 얼굴이 쉽게붉어져서 쿨링도되면서 진정되는 크림을찾고있었는데 아비브꺼 구매해서 사용중이예요~~아비브는 마스크팩도그렇고 세럼이나 패드 등 많이 사용해봐서그냥 후기안보곸ㅋㅋㅋ상세설명만 보고 바로 구매해서 사용중!건성이다보니 진정도되면서 보습도 채워줘야하거든요 ㅎㅎㅎ너무 가벼우면 건성인지라 여름이라도 얼굴 살짝 당김 느껴질수잇어서 보습도 챙기는편인데아비브 카밍튜브 적당히 보습있으면서 잘 발리고 순한거같아요!!여름이라서 또 너무 꾸덕한제형이면 얼굴에 계속 머리카락 들러붙고 짜증나거등요,,?알쥬?더운데 머리카락까지 붙으면안된다고.,, 근데 그런건없고 일어나도 유분기가 돈다거나 그런거없네용 ㅎㅎㅎ무난무난하니 순한제품으로 사용할수잇을것같아요~"
"여울이2","건성","쿨톤","주름","","5점만점에 5점","2025.09.12","복합성에 좋아요","진정에 좋아요","보통이에요","아비브 제품은 순하고 자극없어서가볍게 아침 저녁으로 사용하기 좋아요피부결도 계선되구 좋습니다"
"다블리V","트러블성","웜톤","각질","모공","5점만점에 5점","2025.09.09","복합성에 좋아요","진정에 좋아요","보통이에요","향기가 너무 좋아용. 제가 피부가 민감해서 걱정했눈데 향기도 좋고, 매일매일 쓸수 있울것 같어요. 감사해용ㅎㅎㅎ"
"고맴","건성","쿨톤","모공","블랙헤드","5점만점에 5점","2025.08.10","복합성에 좋아요","진정에 좋아요","자극없이 순해요","아비브 제품은 믿고 씀ㅎ 걍 너무 좋음부활초 크림만 4개 쓴 사람인데 어성초 크림도 만족스러워요.수분감과 진정효과가 있는 크림이라 피부에 열감을 낮추거나 피부요철 생겼을 때 발라주면 어느정도 가라앉더라구요!제형 자체가 엄청 가볍고 촉촉해서 산뜻하게 마무리 되는 편이라 건성 기준 단독으로 바르기에는 부활초 크림을 좀 더 추천하지만 진정 효과가 목적이라면 어성초도 추천해요.어성초 부활초 둘다 흡수도 잘 되는 크림이라서 메이크업 전에 발라도 밀림 없어요."
"갬자도리","모공","트러블","","","5점만점에 5점","2025.09.06","복합성에 좋아요","진정에 좋아요","자극없이 순해요","아비브 미쳤나봐 왜케 좋아 쿨링성분도 있고 바르고나면 수분감 완전촉촉 바로 스며들어서 진짜 넘나 좋아요.이거 쓰고 피부 진정도 되고 열감도 내리고 보습도 좋았음"
"17kiduy****","지성","웜톤","각질","모공","5점만점에 5점","2025.09.03","복합성에 좋아요","진정에 좋아요","보통이에요","아주 좋아요. 촉촉하고 가벼워요. 얼굴이 끈적임이나 묻어남도 없어요."
"17kiduy****","지성","웜톤","각질","모공","5점만점에 5점","2025.09.03","복합성에 좋아요","진정에 좋아요","보통이에요","할인율이 높지는 않았던 제품이었는데 … 아이브 제품은 믿어요. 엄정 가볍고 촉촉해서 산뜻하게 마무리 되는 편이에요"
