product_name,id,tag,tag 2,tag 3,tag 4,point,date,txt,txt 2,txt 3,txt_inner,point_flag
에스트라 아토베리어 365크림,먕냥먕,지성,겨울쿨톤,모공,미백,5점만점에 5점,2025.07.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,"제가 요즘,, 피부가 많이 예민해져서 되직한 크림이 필요했는데 에스트라 진짜 최고예요,, 지금 피부 상태 1주일 됐는데 너무 좋아졌어요",
에스트라 아토베리어 365크림,현실적인피치,민감성,봄웜톤,각질,다크서클,5점만점에 3점,2025.07.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,캡슐 같은게 들어가 있고 발림성도 부드러워요. 근데 기름져요. 수부지 복합성이 쓰기에는 여름에는 힘들어요. 건성 추천용. 그리고 모낭염 피부에는 안 좋답니다. 무거운 보습감이 있네요. 그래도 겨울에 발라보거나 로션으로 사려고요.. 성분은 대체로 순한데 자고 나면 개기름 올라오는 저에게는 여름은 힘드네요..무거운 보습감과 유분감이 있어 건성을 잘 쓸 듯 해요. 저는 장벽 무너졌을 때 너무 더우면 ㄷㅌㅈ 수분 크림과 섞어 씁니다. 그러면 그나마 괜찮아요.,
에스트라 아토베리어 365크림,미유크,지성,봄웜톤,모공,민감성,5점만점에 5점,2025.07.18,건성에 좋아요,보습에 좋아요,자극없이 순해요,지성인데 출산이후 건조함이 심해져서 여름인 지금도 사용합니다.많이 쓰면 화장할때 때 밀리듯이 밀려서 소량만 사용하는디 좋아요!!!,
에스트라 아토베리어 365크림,아이린애들러,,,,,5점만점에 5점,2025.07.21,건성에 좋아요,진정에 좋아요,자극없이 순해요,접촉성 피부염 났을 때 챗지피티가 추천해줘서 오늘드림으로 시켰는데 자극없고 순하고 좋네요,
에스트라 아토베리어 365크림,뚜띠뚜뚜,민감성,쿨톤,민감성,트러블,5점만점에 5점,2025.07.27,건성에 좋아요,보습에 좋아요,자극없이 순해요,지금까지 10통 넘게 썼을거예요 전에는 겨울에만 사용헸는데 피부과에서 여름에 땀 흘리면 피부가 더 건조해 지는 거라고 해서 여름에도 발라보니까 엥 기름이 덜 올라오는거 같아요!그동안 유수분 밸런스가 안 맞았었나봐요 요새 점점 피부가 좋아집니다 ㅎ,한달이상사용
에스트라 아토베리어 365크림,입술은하나,복합성,쿨톤,모공,블랙헤드,5점만점에 5점,2025.06.08,복합성에 좋아요,진정에 좋아요,보통이에요,메이크업베이스 바르기 전에 발라도 밀리지 않아서 좋습니다. 그리고 원터치로 된 뚜껑이 필요하지 편안하구요. 너무 질감이 두껍지도 않고 너무 질감이 얇지도 않고 그냥 딱 정상이고 중간이고 보통이라서몇 번이나 구매하고 있습니다추천합니다,
에스트라 아토베리어 365크림,정은오,중성,쿨톤,탄력,홍조,5점만점에 5점,2025.07.11,건성에 좋아요,보습에 좋아요,자극없이 순해요,"와.. 사람들이 좋다고 하면 한 번 쯤 시도해봐야하네요.고민하다가 구매했는데 좋아요.보습도, 진정도 모두 만족합니다",
에스트라 아토베리어 365크림,야링이,,,,,5점만점에 4점,2025.07.03,복합성에 좋아요,보습에 좋아요,자극없이 순해요,민감 피부 진정에 좋다하길래 구매해보았어요향은 무향이네용,
에스트라 아토베리어 365크림,뿌뿌뿌하,건성,가을웜톤,각질,다크서클,5점만점에 5점,2025.07.29,건성에 좋아요,보습에 좋아요,자극없이 순해요,에스트라 크림은 정말 좋아서 항상 만족해요 특히 건성은 로션보다는 크림이 훨씬 더 좋은 느낌이에요 로션에서 크림으로 바꾼 뒤로 더 만족하는 제품이에요,
에스트라 아토베리어 365크림,동글동글토마스,,,,,5점만점에 5점,2025.07.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,제가 진짜 악건성인데 이거는 정말 보습이 좋고 순해서 애용하는 제품이예요!,
에스트라 아토베리어 365크림,리뷰는즐거워,복합성,봄웜톤,민감성,트러블,5점만점에 5점,2025.07.15,복합성에 좋아요,진정에 좋아요,보통이에요,복합성 피부라 볼에만 발라주고 있어요 세콜지라고 해서 샀습니다,한달이상사용
에스트라 아토베리어 365크림,하늘을날아서,약건성,쿨톤,민감성,주름,5점만점에 5점,2025.06.28,건성에 좋아요,보습에 좋아요,자극없이 순해요,3년째 나의 애정템! 4계절 저와 함께 하는 크림이예요. 화장품과 궁합도 좋아서 밤낮으로 자유롭게 사용하기 좋아요 :),
에스트라 아토베리어 365크림,완소깽,,,,,5점만점에 5점,2025.06.16,복합성에 좋아요,보습에 좋아요,자극없이 순해요,요즘 피부트러블이심하고너무 당기고 간지럽고해서 유툽보고 바로 구매수분보단  보습엔 짱인듯 저녁에만 사용하고있어요,
