product_name,id,tag,tag 2,tag 3,tag 4,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner,ico_offlineStore
닥터지 레드 블레미쉬 클리어 모이스처 크림,불빛핑,트러블성,쿨톤,민감성,잡티,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.26,건성에 좋아요,진정에 좋아요,자극없이 순해요,"진정템 찾는다면 요거 괜찮아요 바르는 순간 촉촉하게 스며들고, 열감 있는 날에도 피부를 편안하게 다독여줘서 요즘 완전 애정템 됐어요 ( ੭ ˙ᗜ˙ )੭💚",
닥터지 레드 블레미쉬 클리어 모이스처 크림,eu****,약건성,겨울쿨톤,민감성,홍조,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 3점,2025.07.04,건성에 좋아요,보습에 좋아요,보통이에요,자극은 없고 순하지만 유분기가 있어서 건성들이 쓰기 좋을거 같아요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,논현동꼬북이,건성,봄웜톤,각질,미백,,,5점만점에 5점,2025.06.16,건성에 좋아요,보습에 좋아요,자극없이 순해요,없으면 안되는 속건조 싹 잡아주는 사계절 건성 필수템.. 할인이 없어 늘 비싸긴 하지만 돌고 돌아 결국 이거입니다ㅠ 파워건성인 저에겐 2-3번 레이어링 해야하지만 기름지지 않고 촉촉해서 피부가편안해요,
닥터지 레드 블레미쉬 클리어 모이스처 크림,올리브뵤,약건성,여름쿨톤,민감성,트러블,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.13,건성에 좋아요,보습에 좋아요,자극없이 순해요,트러블있는 건성피부인데 유분은 극악 수분에 집중된 기초케어 하고싶을때 추천해요,
닥터지 레드 블레미쉬 클리어 모이스처 크림,브라운87,지성,잡티,,,,,5점만점에 5점,2025.06.14,건성에 좋아요,보습에 좋아요,자극없이 순해요,닥터지 수딩크림 진짜 말모../// 너무 좋아요ㅠㅠ기본 수딩 크림 보다 모이스처 크림이라 그런가 속건조 잘 잡아줬고 아침에 일어나면 피부 완전 좋아보여요. 화장도 잘먹구ㅠㅠ 진짜 기본템의 정석이랄까.. 수딩 크림 고민하시는 분들 이거 한번 써보세요ㅜㅠ 너무 완벽한 크림… 속보습 잘되서 건성분들 진짜 추천!!!,
닥터지 레드 블레미쉬 클리어 모이스처 크림,Ayg,민감성,가을웜톤,민감성,,,,5점만점에 5점,2025.05.29,복합성에 좋아요,보습에 좋아요,보통이에요,"같은 라인 제품 모두 쓰는데 확실히 겨율, 봄에 바르기 좋은 제품",매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,그래도어떡해해야지,건성,겨울쿨톤,잡티,탄력,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.16,건성에 좋아요,보습에 좋아요,자극없이 순해요,닥터지만한 장벽크림은 아직 못 찾은 듯 ㅜㅜ가장 유명한 수딩크림은 사실 여름에만 사용 가능한 가벼운 수분크림이고 이 모이스처 크림은 극건성에게 속건조로부터 구원해주는 최고의 장벽 크림입니당여름엔 조금 무겁지만 나머지 계절엔 진짜 바르자마자 극건성 피부가 바로 숨을 쉴 수 있게 해주는 구원템!,
닥터지 레드 블레미쉬 클리어 모이스처 크림,유ㄴ나핑,,,,,,,5점만점에 5점,2025.06.29,건성에 좋아요,보습에 좋아요,자극없이 순해요,와 진짜 제가 수분크림중에 제일 원탑으로 생각하는 이 닥터지 수부크림 파란색 이거 진짜 너무 좋아요 제가 지금까지 한 두통 넘게 쓰고 또 재구매 해서 쓰고 있는데 진짜 이 수분크림이 초록색은 지성 그런 피부타입이고 파란색은 건성용인데 제가 예전에 초록색으로 잘못 샀다가 작년에 파란색을 쓰는게 맞다고 하는 지인이 있어서 이걸로 사서 사용 하고 있는데 진짜 이 수분크림 너무 좋아요 제가 원래 피부에 각질도 많고 되게 피부가 많이 안 좋았었는데 이 수분크림 쓰고 나서 피부가 되게 많이 좋아지고 각질도 제가 원래 엄청 많았는데 각질도 지금 되게 많이 사라지고 효과가 너무 좋았어요 꼭 구매 하세요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,유니는소중해,,,,,,,5점만점에 5점,2025.06.17,복합성에 좋아요,진정에 좋아요,보통이에요,트러블없이 잘 사용하고있어요 팍팍써도 되고 너무 좋네요 만족합니다,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,eu****,약건성,겨울쿨톤,민감성,홍조,,,5점만점에 3점,2025.05.17,건성에 좋아요,보습에 좋아요,보통이에요,보습에 좋기는 한데 약간 유분이 있어서  건성이 쓰기 좋을거 같아요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,gannni,,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,진짜 수분크림 1티어임.. 이제 이거 없으면 살 수 없어요.. 완전 건성인 사람들은 초록색 보다 이 파란색이 낫다구 해서 쭉 사용해오고 있는데 매일 밤에 피부가 갈라지던 제가 지금은 멀쩡해갑니당 ㅎㅎ.. 벌써 거의 다 써가여.. 또 재구매할듯,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,gk****,,,,,,,5점만점에 4점,2025.06.14,건성에 좋아요,보습에 좋아요,자극없이 순해요,바르고나면 오랫동안 땡기지도 않고 속건조에 도움 되는 것 같아요근데 스패출라 뭔가 야심차게 바닥에 안닿게 잘 만드시긴 했는데애초에 먼지 쌓여서 바닥이나 어디 위에 올려놓기가 좀 그래요;;용기에 내장되어 있도록 리뉴얼 되면 좋겠음 ㅠ 이전에 쓰던거는 용기 안 위쪽에 캡 씌우고 그 위에 스패출라 올려놓을 수 있어서 좋았는데..글고 통 자체도 뭔가 다른 것들보다 먼지가 잘 쌓여서 붙는 느낌이라어디 천장있는 서랍에 놔야할 것 같아요..ㅠ보습에는 좋은 것 같아서 한번더 다시 사보고 싶은데 다시 사게 된다면 튜브타입으로 사고 싶음 ㅠㅠ 없다면 이전에 쓰던 걸로 돌아갈 듯,
닥터지 레드 블레미쉬 클리어 모이스처 크림,little****,,,,,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.10,복합성에 좋아요,진정에 좋아요,보통이에요,계속 꾸준히 사용해오던 제품이라 만족합니다! 밀가루나 자극적인 음식을 먹으면 트러블이 올라오는데 밤에 잠들기 전에 듬뿍 발라주면 다음날은 좀 가라앉는거 같아요. 민감한 피부인데 자극없이 제 피부에 맞는거 같아서 꾸준히 사용하려고 합니다. 재재재구매템이에요:),
닥터지 레드 블레미쉬 클리어 모이스처 크림,1k,지성,가을웜톤,다크서클,주름,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.30,건성에 좋아요,보습에 좋아요,자극없이 순해요,민감할 때도 무난하게 바를 수 있는 수분크림이에요. 속보습감이 있어서 끈적이지 않고 피부 속까지 편안해져요.,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,올리브뵤,약건성,여름쿨톤,민감성,트러블,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.29,건성에 좋아요,진정에 좋아요,보통이에요,"진정 보습이 필요할 때 딱 찾게 되는 크림이에요.  무난하게 순하고 촉촉해서 예민할 때도 안심하고 바를수있어욤. 유분감보단 수분 위주라 속건조 잡기에도 좋았고, 트러블 날 때도 자극 없이 잘 썼어요!",
닥터지 레드 블레미쉬 클리어 모이스처 크림,혜댜,민감성,웜톤,각질,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.28,건성에 좋아요,보습에 좋아요,보통이에요,30ml 튜브형 함께 주는 구성이 좋아서 구매했습니다 ! 행사 자주 했으면~~,
닥터지 레드 블레미쉬 클리어 모이스처 크림,코띤디,여름쿨톤,다크서클,민감성,,,,5점만점에 5점,2025.07.04,건성에 좋아요,진정에 좋아요,자극없이 순해요,다른제품도 써봤지만 속건조에 이만한거 못 찾은거 같아요재구매하려구요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,배고픈고슴도치,지성,웜톤,잡티,트러블,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.01,복합성에 좋아요,보습에 좋아요,자극없이 순해요,어머니 사드린 제품인데 어머니가 좋은 제품은 쟁이는 습관이 있으세요 근데 이거 계속 사달라고 하시는 것 보니 좋은 제품인 것 같습니다,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,춘식이는부자얌,건성,겨울쿨톤,다크서클,미백,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.30,복합성에 좋아요,진정에 좋아요,보통이에요,냄새 별로 안나서 좋고 수분 진정에 나쁘진 않은것 같아서 그냥 씁니다엄청 좋다까진 안느껴져요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,sookyng****,,,,,,,5점만점에 5점,2025.06.22,복합성에 좋아요,진정에 좋아요,자극없이 순해요,딸아이가 늘 애용하는 제품입니다~촉촉하게 진정되고 좋다네요,
닥터지 레드 블레미쉬 클리어 모이스처 크림,여쿨건성17과19사이,건성,여름쿨톤,홍조,,,,5점만점에 5점,2025.06.23,지성에 좋아요,진정에 좋아요,보통이에요,좋아요 마음에 들어요 항상 잘 사용하고 있어요 재구매 예정이예요,매장
닥터지 레드 블레미쉬 클리어 모이스처 크림,숨밍,복합성,겨울쿨톤,민감성,트러블,,,5점만점에 5점,2025.06.15,복합성에 좋아요,진정에 좋아요,자극없이 순해요,수분감이 있고 산뜻해요.흡수도 잘 되고 너무 좋아요. 🙂,
