product_name,id,tag,tag 2,tag 3,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner,tag 4,thum src 4
바이오더마 시카비오 크림,햅삡삐,약건성,봄웜톤,각질,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.26,건성에 좋아요,보습에 좋아요,자극없이 순해요,"겨울에 너무 건조해서 피부가 다 뒤집어져서 구매해봤습니다. 날씨가 괜찮아지면서 다시 좋아지긴 했는데, 건조할땐 덕 많이 봤습니다.",,
바이오더마 시카비오 크림,SlLZlST,복합성,쿨톤,다크서클,,,5점만점에 3점,2025.06.25,건성에 좋아요,보습에 좋아요,보통이에요,"유튜버 보고 냅다 구매했는데, 하필 여름이네요. 제가 수부지라 사실 여름에 이 제품을 사용해보기엔 무리가 있는 거 같아요.사용감은.. 여름이라 좀 답답하고 피부에 좋은 느낌은 안들었어요. 그래서 겨울에 다시 사용해 보려고 합니다. 그땐 많이 건조함을 느껴서 도움이 될 수도 있다고 생각해요.발림성은 저는 좋았어요. 약간 꾸덕하긴한데 체온으로 녹으면서 금방 슥슥 발라집니다. 그리고 다른 수분크림들이랑 섞어서 쓰기에도 유용하고 좋아보였어요.아무튼 지성분들이 여름에 사용하기엔 무리가 있는 제품처럼 보입니다.",모공,
바이오더마 시카비오 크림,올리브뵤,약건성,여름쿨톤,민감성,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.06.26,건성에 좋아요,보습에 좋아요,자극없이 순해요,관리받은 후에 쓰면 빛을 발하는 크림 같아요!!피부에 챡 감기는 느낌의 크림이라 발림성도 나뿌지않고스크럽하고 쓰면 다음날 진정효과가 눈에 띄게 잘 느껴져요,트러블,
바이오더마 시카비오 크림,고캭이,복합성,봄웜톤,민감성,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.09,건성에 좋아요,보습에 좋아요,자극없이 순해요,꾸우우우덕 합니다!손등에 덜어서 부드럽게 풀어준다음 올려야 마찰이 덜해서 잘 발려요큰 차도는 모르겠지만 트러블은 안나고 잘 맞는거같아요,잡티,
바이오더마 시카비오 크림,정쏘쏨,복합성,웜톤,모공,,,5점만점에 5점,2025.07.02,복합성에 좋아요,진정에 좋아요,자극없이 순해요,바이오더마 시카비오는 셀 수 없이 구매했는데 리치인가 그건 오래두면 물처럼 녹아서 별루더라규요 이건 입구도 좁아서 트러블 포인트에 딱 짜기도 좋아요,민감성,
바이오더마 시카비오 크림,zllone,지성,다크서클,모공,,,5점만점에 5점,2025.07.02,건성에 좋아요,진정에 좋아요,자극없이 순해요,묵직하고 저는 지성피부라 기름지다고 느껴졌지만 피부장벽케어 효과가 대박이라 일주일만에 사람다운 피부로 돌아가게 만들어준 저의 은인같은 크림이에요ㅜㅜ,,
바이오더마 시카비오 크림,푸른빛의별,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.07.05,복합성에 좋아요,진정에 좋아요,보통이에요,한달 사용 리뷰입니다.오랜 시간 모낭염으로 고생해서 도저히 안되겠더라고요. 피부과에 방문해서 상담을 받아보니 이 제품을 추천하길래 당장 구매해서 사용했습니다. 음... 왜 일까요? 토너 바르고 이 제품 발랐는데 처음에는 좋았죠. 그런데 시간 지나니깐 얼굴이 엄청 건조해지고 심지어 아팠어요.  토너 바르고 히알루론산세럼 바르고 수분크림 바른 후 전체말고 문제되는 일부분만 바르니깐 괜찮았습니다. 유명하고 좋다해도 내 피부에 안 맞으면 땡인 것 같아요.,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,고캭이,복합성,봄웜톤,민감성,,,5점만점에 5점,2025.06.09,건성에 좋아요,보습에 좋아요,자극없이 순해요,"꾸덕해요! 손등에서 조금 제형을 풀어주고 얼굴에 올리면 자극안되고 좋아요 요즘 좁쌀도 올라오고 얼굴 붉어지면서 모공열리고, 따갑고 그래서 구매해봤어요라로슈포제 시카플라스트는 묘하게 규조토같은 모래가 느껴지는 마무리 질감인데 이건 그런거 없이 진짜 크림이라 좋아요자기전에만 사용하시고 얇게 한겹만 깔아주면 좋을것같아요",잡티,
바이오더마 시카비오 크림,37살의여신,건성,쿨톤,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.14,건성에 좋아요,보습에 좋아요,자극없이 순해요,"포마드보단 가벼움.진정,붉은기에 효과봄.향은 호불호에갈리지만! 여름에써도괜찮음",민감성,
바이오더마 시카비오 크림,37살의여신,건성,쿨톤,모공,,,5점만점에 5점,2025.05.15,건성에 좋아요,보습에 좋아요,자극없이 순해요,"포마드보다 좀 가벼운크림.. 사계절쓰기엔 적합무거울줄알았는데 가벼워요~~근데 화장베이스로깔기엔, 진짜 화장밀릴것같은제형?.자기전에..아주 특별한날에 약속있다거나 바르고자면 좋을듯~",민감성,
바이오더마 시카비오 크림,luvsuu,건성,겨울쿨톤,다크서클,,,5점만점에 5점,2025.07.01,건성에 좋아요,진정에 좋아요,자극없이 순해요,안 맞는 선크림 바름+월경 전이라 얼굴에 홍조랑 좁쌀여드름 폭발이었는데 셀러님 추천으로 한 번 사봤어요.원래 바이오더마 시카비오 포마드 바르긴 했었는데 이 제품도 진짜 좋네요.... 처음에 기름져보이는데? 싶다가 싸악 스며드니 그런 것 전혀 없고 이 한여름에도 선세럼+파데 발라도 기름광이 예쁘게 돌아서 전 만족스러워요. (기름광이야 파우더로 가볍게 눌러주면 그만),모공,
바이오더마 시카비오 크림,도톨킴,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.06.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,극민감+주사피부로 재발되서 알아보다가 구매했는데 연고같은 제형으로 피부장벽 무너진 분 혹은 극건성분께 겨울크림으로 추천해요 한달정도 처방약복용과함께 쓰면서 서서히 나아지고 있어요 낮엔 밀릴 수 있어 나이트크림으로 쓰고 있어요 지금은 여름이라 꽤 무거운편이여서 건조한 부위에만 쓰고 있어요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,공쥬2131,건성,쿨톤,잡티,,,5점만점에 5점,2025.07.09,복합성에 좋아요,진정에 좋아요,보통이에요,건성이라 밤타입이나 크림토너 많이썻는데 여름이라 보습은 되지만 조금 가벼운거 쓰고싶어서 구매햇어요,주름,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,푸를청,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.30,건성에 좋아요,보습에 좋아요,자극없이 순해요,지난 겨울에 건조했던 피부에 단비와 같았던 제품입니다. 이번에 처음 사용해봤는데 피부가 촉촉해지면서 편안해져서 마음에 들어  바로 재구매했어요.,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,gaen****,중성,웜톤,모공,,,5점만점에 5점,2025.07.09,건성에 좋아요,진정에 좋아요,자극없이 순해요,"최근에 출시된 바이오더마 시카비오 크림+ 는 피부 손상 회복에 집중된 제품이에요. 특히 얼굴뿐 아니라 몸, 그리고 민감한 부위까지 사용할 수 있어서 활용도가 높고, 피부 진정과 보호에 탁월한 느낌이 들었어요.✔️ **장점*** 상처나 자극받은 부위에 바르면 **금방 진정**되는 느낌* 끈적이지 않고 **흡수가 빠른 제형*** 민감한 피부에도 자극 없이 사용 가능* **멀티케어 가능**: 얼굴, 바디, 인티메이트 존까지 사용 가능❗ **단점*** 수분감보다는 **회복력에 집중된 느낌**이라 건성 피부에는 단독 보습제로 부족할 수 있어요* 향은 거의 없지만 약간의 **의약품 느낌의 향**이 있어요💡 **추천 대상*** 여드름 자국, 상처, 피부 벗겨짐 등 **피부 장벽 회복이 필요한 분*** **다용도로 쓰기 좋은 진정 크림** 찾는 분* 부드럽고 자극 없는 시카 크림이 필요한 **민감성 피부**",블랙헤드,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,유안ann,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.28,건성에 좋아요,보습에 좋아요,자극없이 순해요,효과 너무 좋아서 재구매했습니다!! 가격도 할인 들어가서 너무 좋아요! 좋은 제품 만들어주셔서 감사합니다. 잘 사용했습니다!!,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,닉네임을입,복합성,가을웜톤,각질,,,5점만점에 4점,2025.06.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,ㄹㄹㅅㅍㅈ 같은 제형이라 넓게 콕콕콕 얹어서 펴바르는게 좋아요! 유분기가 많나 싶지만 어느정도 흡수되고나면 그렇지만은 않은거 같아요 끈적임이 없진 않습니다.. 건조한건 잘 잡아주는 거 같네요!,블랙헤드,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,류미르,,,,,,5점만점에 5점,2025.05.28,복합성에 좋아요,보습에 좋아요,자극없이 순해요,피부장벽이 무너졌는지 붉어지고 오돌토돌 올라와서 재생크림을 사용하려구 구매했어요 수부지지만 저녁에 소량 바르고 자면 무너진 장벽 복구에 좋을거같아요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,달달꿈,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.05.30,건성에 좋아요,진정에 좋아요,자극없이 순해요,피부과 시술때문에 재생크림으로 사용하려고 구입했는데 잘 쓰고 있어요. 유분감이 강한것은 아니지만 건조한 부분에 덧발라도 좋고 자기전에 듬뿍 바르면 다음날 피부가 좋아지는 것을 느껴서 좋더라구요. 재구매 의사가 있고 자주 세일을 해줬으면 좋겠네요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,kokuma****,트러블성,다크서클,모공,,,5점만점에 5점,2025.06.01,건성에 좋아요,진정에 좋아요,자극없이 순해요,추천받고 구입했는데 넘 괜찮은거같아요. 양이 적어서 금방 쓰니 더 사야겠어요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,깅보르,,,,,,5점만점에 5점,2025.05.22,복합성에 좋아요,보습에 좋아요,자극없이 순해요,많이 무겁다는 후기들이 보여서 저는 저녁에만 마지막 케어 단계에 사용하고 있는데요 소량만으로도 보습이 되는 느낌이고 이미 패여버린 흉터에 그리 효과는 없겠지만 그래도 평이 좋아서 꾸준히 써보려고 합니다!,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,토깽토깽,민감성,미백,트러블,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.06.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,"제 인생템입니다💜 이 제품 도대체 누가 만드신거죠... 보습감은 채워주고, 붉은기는 완화시켜주더라구요. 나이트 케어용으로 이만한 제품이 없어요🥲✔️저는 밤에 스킨케어가 너무 귀찮은 날엔 미스트 대〰️충 뿌려주고 이 제품으로 듬뿍 마무리를 해주는 편이에요. 이렇게만 발라도 다음날 피부에 광이 돌더라구요.✔️제형 자체는 발림성이 좋은 편은 아니지만, 손등에 덜어서 체온으로 살짝 녹인 후에 피부에 얹으면 잘 발리더라구요!✔️포마드와의 차이점이 오일 성분 유무라고 봤던 것 같은데, 저는 오일 성분이랑 잘 맞지 않아 이 제품이 제 피부에 더 맞는 것 같아요. 제 인생템이라 세일만 자주 하면 더 좋을 것 같아요🥹",,
바이오더마 시카비오 크림,푸른빛의별,,,,,,5점만점에 3점,2025.06.05,복합성에 좋아요,진정에 좋아요,보통이에요,모낭염 흔적이 심하기도 하고 눈 밑에 엄청 건조하고 자극이 와서 무엇을 발라도 따갑고 고통스러워 제품을 구매하게 되었습니다.  유튜버 디렉***에서  top으로 선정 되기도 하고 바이오더마면 믿을 수 있지 않나 싶어 면세점보다 더 비싼가격으로 구매했는데 .... 단독으로 바르면 너무 너무 속건조가 일어납니다. 볼이 찢어지는 줄 알았어요. 지금 피부장벽이 무너진 상태라서 효과를 기대했건만 심하게 건조하게 만들어서 놀랬습니다. 수분크림 바르고 그 위에 몇 부분만 덧바른것은 괜찮은데 단독은 아니더라고요.  아.. 너무 아파요... 포마드는 밤이라서 나을려나?  여튼 너무 놀래서 사용하기 무섭습니다. 참고로 제 피부는 수부지입니다. 모낭염 3~4개 났고  모낭염 색소흔적이 많은 상태입니다.,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,도톨킴,,,,,,5점만점에 5점,2025.05.22,건성에 좋아요,진정에 좋아요,자극없이 순해요,극민감에 주사피부염이 있어서 한동안 피부과지료받았는데 요즘 한쪽볼이 좀 피부염이 올라와서 장벽크림 급하게 찾다가 리뷰보고 구매했어요 메이크업 전에만 빼고 데일리 특히 밤에 열심히 바르고 있는데 서서히 피부가 진정되는게 보여요 다쓰면 재구매해서 꾸준히 사용해볼려구요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,02****,,,,,,5점만점에 5점,2025.07.06,건성에 좋아요,보습에 좋아요,보통이에요,꾸덕한 제형이라 여름에 바르긴 부담스럽지만 확실히 바르고 나면 피부결이 좋아진 게 느껴져요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,ntn****,,,,,,5점만점에 5점,2025.07.02,복합성에 좋아요,보습에 좋아요,자극없이 순해요,재생크림 치고 별로 안 기름진 편인 것 같아요. 전에 사용했었던 거는 뭐가 났는데 이건 괜찮네요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,산신렿,트러블성,웜톤,,,,5점만점에 5점,2025.07.08,건성에 좋아요,보습에 좋아요,자극없이 순해요,추천받아서 구매해본 제품인데 만족하면서 사용 중입니다!,,
바이오더마 시카비오 크림,oliveun,지성,웜톤,각질,,,5점만점에 5점,2025.07.07,건성에 좋아요,보습에 좋아요,자극없이 순해요,개선된게 느껴집니다 바이오더마만 세개째 구매합니다! 별 다섯개 이상 주고싶어요~ 가격도 만족스러운 편입니다.,민감성,
바이오더마 시카비오 크림,채콩2,건성,쿨톤,미백,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.06,건성에 좋아요,진정에 좋아요,자극이 느껴져요,이거 은근 호불호 갈리던데 저는 불호요...재생크림이라 자기전에 얇게 펴바르고 자는데이거만 발랐다하면 다음날 뾰루지 잔뜩 올라옴,,
바이오더마 시카비오 크림,금붕,복합성,봄웜톤,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.04,복합성에 좋아요,진정에 좋아요,보통이에요,얼굴 재생시키는 용도로 쓰는 꾸덕한 재샹크림이에요!! 좋아요,블랙헤드,
바이오더마 시카비오 크림,insun****,,,,,,5점만점에 4점,2025.06.30,복합성에 좋아요,진정에 좋아요,보통이에요,조금 꾸덕한 편이기는 해요.그래서 저는 소량만 발라요 특정부위에!진정에는 효과적입니다사이즈도 딱 작아서 좋아요,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,jp95i****,,,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 3점,2025.06.25,복합성에 좋아요,진정에 좋아요,보통이에요,유명한 크림이라 한번 사용해 보고 싶었어요. 별다른 자극없이 순한 것 같긴한데  제 피부가 많이 건조 한건지 촉촉함을 느낄수 없고 제형이 뻑뻑해 불편하게 느껴졌어요.  한번 써 본것으로 만족합니다.,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,ses122****,민감성,모공,미백,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.06.16,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"히알루론산이나 수분만 있는 앰플 바른뒤에 이 크림을 바르면 밀리고 아예 흡수가 안되서, 무조건 오일이나 유분감이 있는 에센스나 앰플 바른뒤에 발라야 해요. 시카비오는, 건성피부보다는 지성피부가 보습감 줄때 적당한 크림이에요.",,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,푸를청,,,,,,5점만점에 5점,2025.05.26,건성에 좋아요,보습에 좋아요,보통이에요,건성 피부 때문에 환절기 그리고 특히 겨울에 힘들어하는 가족읊위해서 처음 구입해봤습니다. 사용해보니 건성을 위한 크림이라서 만족입니다. 항상 메마른 건조했던 피부가 윤기가 흐르는 피부가 되네요. 촉촉해서 마음에 들어요.,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,호배깅,복합성,웜톤,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.09,복합성에 좋아요,보습에 좋아요,자극없이 순해요,유튜브 추천템이어서 바로 샀네요ㅎㅎ 한겨울에 재생크림 필요할때 또 살것같아요~ 좋네용,미백,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,도굠,건성,여름쿨톤,다크서클,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.07.07,건성에 좋아요,진정에 좋아요,자극없이 순해요,저는 건성이라 여름에도 저녁에 바르고 자요바르기에는 뻑뻑해도 흡수도 빠르고 기름지지 않아서 좋아요,모공,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
바이오더마 시카비오 크림,깜자맛,건성,여름쿨톤,다크서클,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.07.02,복합성에 좋아요,진정에 좋아요,보통이에요,처음 써보는데 괜탆고 좋아요맘에 듭니다!!추천해요!!,모공,
바이오더마 시카비오 크림,굴림,,,,,,5점만점에 5점,2024.08.17,건성에 좋아요,보습에 좋아요,자극없이 순해요,손상된 피부를 빠르고 깊게 케어해주는 바이오더마 시카비오크림이 새로 나왔네요. 피부트러블 등 손상된 피부를 개선해주고. 건조함도 잡아주어서 정말 만족이에요. 전에 사용하던 바이오더마크림보단 살짝 가벼운 편이라 여름에 바르기도 좋더라구요. 꾸준히 바르면 속 손상까지 케어해주는 크림이라 만족합니다.,,https://image.oliveyoung.co.kr/uploads/images/gdasEditor/2024/08/17/1723875626595.png?QT=85&SF=webp
