product_name,id,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner
피부미 센텔루션 시카 크림,핑크올립,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.03.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,"건성피부에 맞춤 크림이라서 건성피부이신 분들이 사용하시면 좋습니다. 그리고 건성 피부에 필요한 유수분이 적절하게 채워지고 촉촉한 수분크림이에요. 무엇보다 이 크림은 진정, 잡티, 모공, 보습 4개 다 되는 크림이여서 따로 관리를 해주지 않아도 됩니다."
피부미 센텔루션 시카 크림,구디디,,,5점만점에 5점,2023.02.02,건성에 좋아요,진정에 좋아요,자극없이 순해요,"피부미 센텔루션 시카 크림 공식 홈페이지에서 구매해서 쓴지 2-3년째에 지금 쓴 것만 최소 5통 이상이에요처음엔 인스타 광고에서 보고 구매했는데 크림 자체가 정말 밀리는거 없이 진짜 가볍고 순한 느낌이고, 쓰다보니 얼굴에 울긋불긋하던 부분이나 잔잔바리 지저분한 부분들이 많이 없어져서 계속 재구매하고 있습니다 특히 여드름 심하던 동생이 피부미 시카 크림 쓰면서 변화가 확 생겼어요거의 다 써갈때쯤 올영 세일할때 3X 라고 대용량으로 나와서 바로 건성으로 구매했거든용 근데 건성지성 나뉘어져 있어서 그런가 전에 쓰던 것과 좀 느낌이 다르네용 지성꺼랑 비교를 해보지 못했지만 확실히 좀 더 묽은 로션같은 느낌이 강해요 예전거는 좀 몰캉쫀득 이런 느낌이였는데ㅋㅋㅋ건성과 지성의 차이가 수분크림과 수딩크림 느낌이라고 하니 전에 쓰던게 지성용이랑 더 같은 느낌일 것 같네용 그래서 조만간 지성용으로 하나 사서 비교해보려구요!"
피부미 센텔루션 시카 크림,핑크올립,,,5점만점에 5점,2024.02.17,건성에 좋아요,진정에 좋아요,자극없이 순해요,이 크림은 건성 피부에 맞게 촉촉한 수분크림의 제형이에요 가볍고 자극이 없습니다.
피부미 센텔루션 시카 크림,레쓰비178,,,5점만점에 4점,2023.06.23,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"SNS 별스타, 너튜브 릴스 같은 거 보면 많이 광고나오고 해서 구매하게되었는 데, 복합성의 경우 가을겨울은 괜찮지만, 여름에는 많이 바르지 않아도 될 거 같아요~약간 꾸덕한 느낌이 들어서 찬바람이 부는 계절이 잘 어울립니다"
피부미 센텔루션 시카 크림,오수민,,,5점만점에 5점,2023.01.28,건성에 좋아요,진정에 좋아요,자극없이 순해요,아직 사용해 보지는 않았는데 배송도 진짜 빨리 오고 사람들 후기가 좋아서 샀습니다.
피부미 센텔루션 시카 크림,Cutez1su,,,5점만점에 5점,2025.05.13,복합성에 좋아요,진정에 좋아요,보통이에요,좋아요 옛날부터 써왔던건데 쭉 잘 쓰고 있습니다! 다만 저는 초초초악건성이라그런지 보습이 엄청 오래가진 않는편이에요!
피부미 센텔루션 시카 크림,solche****,,,5점만점에 5점,2025.06.15,건성에 좋아요,진정에 좋아요,자극없이 순해요,친구거 쓰다가 따라 삿는데 진짜 조아요… 순하고 자극 없어서 잘 쓸듯용
피부미 센텔루션 시카 크림,장군이눈아,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.01.25,복합성에 좋아요,진정에 좋아요,보통이에요,"드라마틱한 효과는 없지만 더이상의 트러블은 없는거같아요이마에 좁쌀이 진짜 심했는데 이거때문인지 메디큐브 레드폼클 때문인지.. 잘 모르겠지만 거의 가라앉아서 좋습니다.순하다, 촉촉하다 느낌은 없지만 무난하고 나쁘지않아요!"
피부미 센텔루션 시카 크림,장군이눈아,,,5점만점에 4점,2022.11.16,지성에 좋아요,진정에 좋아요,자극없이 순해요,본사 홈페이지에서 샘플 신청해서 써보고 좋은 것 같길래 올영 입점 듣자마자 올영에서 샀어요건조하다는 말이 있던데 건성+아토피 초 예민피부인데 건조하다는 잘 모르겠어요 미스트랑 같이 써서 그런가..샘플 쓸 때는 확실히 옅어지는 효과가 보여서 샀는데 쓰다보니 있는거같기도 없는거같기도…리뷰들 처럼 드라마틱한 효과는 없는 것 같아요그냥 딱 발랐을 때 붉은기가 가라앉는게 보여서 피부가 좀 진정되보이는 ? 근데 약간 일시적이에요한통 다 써봐야 알듯발림성은 부드럽고 자극적이지도 않아요트러블이 더 나진 않아서 그걸로 만족..ㅠ
피부미 센텔루션 시카 크림,건호,,,5점만점에 5점,2023.02.15,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요,너무 좋고 건성 피부이신 분들은 이걸 쓰는게 좋을듯 한번쯤은 써봐야 하는 제품 그리고 돈 아끼지 말고 사시는게 좋음나중에 피부관리를 안해주면 피부가 엉망이됨
피부미 센텔루션 시카 크림,gaeulhae****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2025.03.14,복합성에 좋아요,진정에 좋아요,보통이에요,매일제히님 덕에 이제는 없으면 안될제품ㅋㅋㅋ 흉터제거크림이라고도 하는데 잘 모르겤ㅅ김함ㅌㅋ
피부미 센텔루션 시카 크림,gaeulhae****,,,5점만점에 5점,2025.02.03,복합성에 좋아요,진정에 좋아요,보통이에요,한번사용한 사람들은 못벗어나는 제품; 몇년째 사용중임 샘플도 쟁이는 스트 ㅎㅎ
피부미 센텔루션 시카 크림,ksh****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2025.01.01,복합성에 좋아요,진정에 좋아요,자극없이 순해요,자극없이 순하고 향도 좋고촉촉하니 바르기 좋습니다~~~~
피부미 센텔루션 시카 크림,yhym****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2024.10.31,건성에 좋아요,보습에 좋아요,자극없이 순해요,너무조아요 몇년째쓰는지 몰라용💓잘쓰고잇어요  꾸벅🫶🤍
피부미 센텔루션 시카 크림,yhym****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2024.09.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,너무조아요 자극없이 최고입니당🫶감사합니당💚 꾸준히쓰께영
피부미 센텔루션 시카 크림,yhym****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2024.07.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극도없고 순해요 계속 쓸예정입니다너무져아요 꼭쓰세용💚🫶
피부미 센텔루션 시카 크림,ksh****,,,5점만점에 5점,2024.07.22,복합성에 좋아요,진정에 좋아요,자극없이 순해요,향도 거의없구자극없이 순해서 좋아요~열심히 바르고있네요~
피부미 센텔루션 시카 크림,yhym****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2024.06.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극없이  건성.  민감피부 다 쓸수있어요꾸준히써보꺼에요🧡👍
피부미 센텔루션 시카 크림,yhym****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.04.11,건성에 좋아요,보습에 좋아요,자극없이 순해요,건성에조코  트러블 방지도 되고너무조아요 감사합니다보습에도 특히 짱조아용😎
피부미 센텔루션 시카 크림,yhym****,,,5점만점에 5점,2024.02.20,건성에 좋아요,보습에 좋아요,자극없이 순해요,요아이는  건성 민감성 다조아요특히 요 빨강 피부미는 여드름좁쌀등 트러블 에도종아용❤
피부미 센텔루션 시카 크림,ksh****,,,5점만점에 5점,2023.12.01,건성에 좋아요,진정에 좋아요,자극없이 순해요,계속 재구매해서 사용중이에요~ 알게모르게 흔적이 사라지는듯해요
피부미 센텔루션 시카 크림,yhym****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.08.22,건성에 좋아요,진정에 좋아요,자극없이 순해요,자극없이 너무져아요🩵🪬👍계속 꾸준히 쓸예정입니다+!🔥
피부미 센텔루션 시카 크림,yhym****,,,5점만점에 5점,2023.07.22,건성에 좋아요,보습에 좋아요,자극없이 순해요,트러블 흔적없는 🩶시카크림 너무시원하고 계속 쓸예정이랍니다🪻
피부미 센텔루션 시카 크림,ksh****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.05.16,건성에 좋아요,진정에 좋아요,자극없이 순해요,꾸준히 바르니 효과가 있는거 같아요~ 다른 시카크림 쓰다가 이것만 쓰게되네요
피부미 센텔루션 시카 크림,ksh03****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.04.12,건성에 좋아요,보습에 좋아요,자극없이 순해요,4.5통쓰고있지만  넘사벽💚너무녀무져아요💙  꼭쓰세여! 최고에용💛💛
피부미 센텔루션 시카 크림,ksh03****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.03.07,건성에 좋아요,진정에 좋아요,보통이에요,자극도없고 너무잘쓰고있답니다🧡💛🧡💛너무져아용💙❤💕💙💙💕
피부미 센텔루션 시카 크림,ksh03****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.03.07,건성에 좋아요,진정에 좋아요,자극없이 순해요,진짜피부미는 사랑입니다🧡1세대제품  쓰고 대용량안나오나?싶어서ㅋㅋㅋ뭉태기주문해서 잘애용중입니닷🍑
피부미 센텔루션 시카 크림,ksh03****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.03.06,건성에 좋아요,진정에 좋아요,자극없이 순해요,항상 믿고쓰는  제품입니다  여러통 쓰고있어서  너무너무좋아요 자주애용하꺼가타욥ㅎㅎ
피부미 센텔루션 시카 크림,ksh****,,,5점만점에 4점,2023.02.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,2주쓰면  효과가 나타날까요~열심히 써보려구요발림성도 좋구 향도 없구  순한거같아요
피부미 센텔루션 시카 크림,ksh03****,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,5점만점에 5점,2023.01.17,건성에 좋아요,진정에 좋아요,자극없이 순해요,5~6통째쓰고있지만!  역쉬! 피부미 시카크림! 바르면진정도되고 보습은물론! 트러블도 없어지고 여드름 색소침착?도  없어지구 가격도 세일가격 오우! 넘냐조아요😖😖
피부미 센텔루션 시카 크림,콩효이,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.05.02,건성에 좋아요,보습에 좋아요,자극없이 순해요,이 크림 진짜 좋아요ㅠ바이럴인줄 알아ㅛ는데 한달 써보니 왕좋네요
피부미 센텔루션 시카 크림,콩효이,,,5점만점에 5점,2024.04.02,건성에 좋아요,보습에 좋아요,자극없이 순해요,보습 너무좋고 쫀쫀해져서 너무좋아요 ! 자기전에 바르면 다음날 컨디션 굳
피부미 센텔루션 시카 크림,한이안하니,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.01.11,건성에 좋아요,진정에 좋아요,자극없이 순해요,2통 째 사용하고 있는데 트러블에 효과있네요 ! 보습력도 꽤 괜찮네요
피부미 센텔루션 시카 크림,한이안하니,,,5점만점에 5점,2023.11.03,건성에 좋아요,진정에 좋아요,자극없이 순해요,"2통째 사용중인데, 저한테 딱 맞아요!건성이라 걱정이 많았는데, 아침에 일어나도 땡기지 않아요"
피부미 센텔루션 시카 크림,레쓰비178,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.08.10,건성에 좋아요,보습에 좋아요,자극없이 순해요,"겨울에 바르면 좋은 거 같아요~ 일단 여름이라서 더 반들반들한 느낌이라서, 저녁에 바르고 자는 게 저에겐 더 효과가 좋다고 느껴졌어요.. 기본적으로 여름이니 유분감도 느껴지니까, 건조하신 분들은 상관없겠지만요"
피부미 센텔루션 시카 크림,aepp****,,,5점만점에 4점,2023.02.25,건성에 좋아요,진정에 좋아요,자극없이 순해요,친구 추천으로 구매를 했는데 여드름 없에는데에는 효과를 그렇게 많이 보지는 못 했지만 확실히 피부진정되는건 눈에 보일 정도로 빠르게 진정이 되더라고요 여드름 흉터나 색소칩착이 점점 옅어지는 것도 같아요 계속 사용하면 어느정도 좋아질 것 같아요 만족합니다
